"low_bound_SFS" "upper_bound_SFS" "mid_wind_SFS" "Nmb_Positions_SFS" "Nb_SNP_SFS" "dist_eucli"
"temp_spectre.88" 4.4e+07 4.5e+07 44500000.5 50 50 2.24401208104902
"temp_spectre.89" 44500000 45500000 45000000.5 52 52 3.53767078544914
"temp_spectre.90" 4.5e+07 4.6e+07 45500000.5 62 62 1.85056282346776
"temp_spectre.91" 45500000 46500000 46000000.5 63 63 2.40423466633532
"temp_spectre.92" 4.6e+07 4.7e+07 46500000.5 60 60 2.60962304078505
"temp_spectre.93" 46500000 47500000 47000000.5 69 69 8.95161006698624
"temp_spectre.94" 4.7e+07 4.8e+07 47500000.5 91 91 3.46403618803522
"temp_spectre.95" 47500000 48500000 48000000.5 80 80 1.40944032247481
"temp_spectre.96" 4.8e+07 4.9e+07 48500000.5 53 53 2.43923638040801
"temp_spectre.97" 48500000 49500000 49000000.5 70 70 1.89997750222702
"temp_spectre.98" 4.9e+07 5e+07 49500000.5 61 61 2.39422789035019
"temp_spectre.99" 49500000 50500000 50000000.5 35 35 8.11493500028374
"temp_spectre.100" 5e+07 5.1e+07 50500000.5 47 47 6.17998986048265
"temp_spectre.101" 50500000 51500000 51000000.5 57 57 3.67598974035312
"temp_spectre.102" 5.1e+07 5.2e+07 51500000.5 49 49 4.91802262549002
"temp_spectre.103" 51500000 52500000 52000000.5 36 36 2.75487306873962
"temp_spectre.104" 5.2e+07 5.3e+07 52500000.5 67 67 1.6671144414006
"temp_spectre.105" 52500000 53500000 53000000.5 82 82 1.54935837524826
"temp_spectre.106" 5.3e+07 5.4e+07 53500000.5 65 65 2.48673071891485
"temp_spectre.107" 53500000 54500000 54000000.5 71 71 1.86961292693327
"temp_spectre.108" 5.4e+07 5.5e+07 54500000.5 75 75 2.01409077048226
"temp_spectre.109" 54500000 55500000 55000000.5 77 77 1.76080463792179
"temp_spectre.110" 5.5e+07 5.6e+07 55500000.5 71 71 3.103574609113
"temp_spectre.111" 55500000 56500000 56000000.5 87 87 1.63231727433364
"temp_spectre.112" 5.6e+07 5.7e+07 56500000.5 93 93 1.79137068923322
"temp_spectre.113" 56500000 57500000 57000000.5 72 72 1.50479328108376
"temp_spectre.114" 5.7e+07 5.8e+07 57500000.5 68 68 3.10858437651034
"temp_spectre.115" 57500000 58500000 58000000.5 57 57 2.94604623252464
"temp_spectre.116" 5.8e+07 5.9e+07 58500000.5 62 62 1.59789329051984
"temp_spectre.117" 58500000 59500000 59000000.5 74 74 1.3664890439262
"temp_spectre.118" 5.9e+07 6e+07 59500000.5 65 65 1.53265743991919
"temp_spectre.119" 59500000 60500000 60000000.5 43 43 1.34921004317748
"temp_spectre.120" 6e+07 6.1e+07 60500000.5 41 41 2.70681789795578
"temp_spectre.121" 60500000 61500000 61000000.5 72 72 2.22399071443098
"temp_spectre.122" 6.1e+07 6.2e+07 61500000.5 73 73 3.35701942280077
"temp_spectre.123" 61500000 62500000 62000000.5 60 60 2.89024568657206
"temp_spectre.124" 6.2e+07 6.3e+07 62500000.5 44 44 4.18591920276955
"temp_spectre.125" 62500000 63500000 63000000.5 57 57 3.78368834610883
"temp_spectre.126" 6.3e+07 6.4e+07 63500000.5 63 63 2.29561188723192
"temp_spectre.127" 63500000 64500000 64000000.5 27 27 3.13993277726088
"temp_spectre.128" 6.4e+07 6.5e+07 64500000.5 41 41 4.74877437259643
"temp_spectre.129" 64500000 65500000 65000000.5 49 49 3.71611642138231
"temp_spectre.130" 6.5e+07 6.6e+07 65500000.5 35 35 3.10047860181875
"temp_spectre.131" 65500000 66500000 66000000.5 32 32 3.22050030808244
"temp_spectre.132" 6.6e+07 6.7e+07 66500000.5 24 24 3.29853160034055
"temp_spectre.133" 66500000 67500000 67000000.5 52 52 3.39623995168333
"temp_spectre.134" 6.7e+07 6.8e+07 67500000.5 58 58 2.92585926235399
"temp_spectre.135" 67500000 68500000 68000000.5 30 30 4.1911883306774
"temp_spectre.136" 6.8e+07 6.9e+07 68500000.5 23 23 5.36008714877537
"temp_spectre.137" 68500000 69500000 69000000.5 45 45 1.94333105057769
"temp_spectre.138" 6.9e+07 7e+07 69500000.5 65 65 1.8387944537783
"temp_spectre.139" 69500000 70500000 70000000.5 69 69 3.76454897965919
"temp_spectre.140" 7e+07 7.1e+07 70500000.5 70 70 3.3475432270347
"temp_spectre.141" 70500000 71500000 71000000.5 65 65 1.92989577533891
"temp_spectre.142" 7.1e+07 7.2e+07 71500000.5 65 65 2.03113246843974
"temp_spectre.143" 71500000 72500000 72000000.5 73 73 2.06538895700209
"temp_spectre.144" 7.2e+07 7.3e+07 72500000.5 61 61 2.12173690597247
"temp_spectre.145" 72500000 73500000 73000000.5 48 48 2.77558394919491
"temp_spectre.146" 7.3e+07 7.4e+07 73500000.5 60 60 1.78834071174753
"temp_spectre.147" 73500000 74500000 74000000.5 44 44 2.34084830617552
"temp_spectre.148" 7.4e+07 7.5e+07 74500000.5 40 40 3.39358754995715
"temp_spectre.149" 74500000 75500000 75000000.5 75 75 3.87281452703012
"temp_spectre.150" 7.5e+07 7.6e+07 75500000.5 74 74 3.29908391457844
"temp_spectre.151" 75500000 76500000 76000000.5 44 44 2.92161416987153
"temp_spectre.152" 7.6e+07 7.7e+07 76500000.5 28 28 4.75505458541199
"temp_spectre.153" 76500000 77500000 77000000.5 65 65 2.93507862025852
"temp_spectre.154" 7.7e+07 7.8e+07 77500000.5 73 73 2.51230461167572
"temp_spectre.155" 77500000 78500000 78000000.5 34 34 3.22081129643884
"temp_spectre.156" 7.8e+07 7.9e+07 78500000.5 32 32 4.53537667856874
"temp_spectre.157" 78500000 79500000 79000000.5 16 16 11.6124975910519
"temp_spectre.158" 79500000 80500000 80000000.5 8 8 4.86766336927745
"temp_spectre.159" 8e+07 8.1e+07 80500000.5 23 23 3.49117291055825
"temp_spectre.160" 80500000 81500000 81000000.5 33 33 4.59466792437843
"temp_spectre.161" 8.1e+07 8.2e+07 81500000.5 35 35 3.68379135607063
"temp_spectre.162" 81500000 82500000 82000000.5 30 30 3.52370886376901
"temp_spectre.163" 8.2e+07 8.3e+07 82500000.5 39 39 43.5462400434459
"temp_spectre.164" 82500000 83500000 83000000.5 203 203 4.59005538490432
"temp_spectre.165" 8.3e+07 8.4e+07 83500000.5 198 198 1.51603532955438
"temp_spectre.166" 83500000 84500000 84000000.5 33 33 4.0407825041512
"temp_spectre.167" 8.4e+07 8.5e+07 84500000.5 25 25 21.315831669283
"temp_spectre.168" 84500000 85500000 85000000.5 20 20 34.3066565005282
"temp_spectre.169" 8.5e+07 8.6e+07 85500000.5 14 14 22.187604050883
"temp_spectre.170" 85500000 86500000 86000000.5 10 10 9.22194314771964
"temp_spectre.171" 8.6e+07 8.7e+07 86500000.5 70 70 2.29938188616332
"temp_spectre.172" 86500000 87500000 87000000.5 74 74 2.80096720023251
"temp_spectre.173" 8.7e+07 8.8e+07 87500000.5 36 36 4.43465545483293
"temp_spectre.174" 87500000 88500000 88000000.5 57 57 2.22243303748222
"temp_spectre.175" 8.8e+07 8.9e+07 88500000.5 57 57 4.00484404091028
"temp_spectre.176" 88500000 89500000 89000000.5 104 104 3.66103307291718
"temp_spectre.177" 8.9e+07 9e+07 89500000.5 79 79 6.03991635821073
"temp_spectre.178" 89500000 90500000 90000000.5 47 47 2.02847130826709
"temp_spectre.179" 9e+07 9.1e+07 90500000.5 84 84 1.88766385693768
"temp_spectre.180" 90500000 91500000 91000000.5 49 49 3.13738831267728
"temp_spectre.181" 9.1e+07 9.2e+07 91500000.5 84 84 1.42893711134562
"temp_spectre.182" 91500000 92500000 92000000.5 111 111 2.06982222988981
"temp_spectre.183" 9.2e+07 9.3e+07 92500000.5 46 46 5.10948307237596
"temp_spectre.184" 92500000 93500000 93000000.5 16 16 4.82479326216839
"temp_spectre.185" 9.3e+07 9.4e+07 93500000.5 13 13 4.05336622314324
"temp_spectre.186" 93500000 94500000 94000000.5 12 12 6.91461895682969
"temp_spectre.187" 9.4e+07 9.5e+07 94500000.5 18 18 9.30767673899367
"temp_spectre.188" 94500000 95500000 95000000.5 33 33 8.84671857020378
"temp_spectre.189" 9.5e+07 9.6e+07 95500000.5 29 29 8.94070355987412
"temp_spectre.190" 95500000 96500000 96000000.5 26 26 3.02637430988277
"temp_spectre.191" 9.6e+07 9.7e+07 96500000.5 25 25 5.69702186083509
"temp_spectre.192" 96500000 97500000 97000000.5 41 41 7.1494675662627
"temp_spectre.193" 9.7e+07 9.8e+07 97500000.5 47 47 3.51726166770709
"temp_spectre.194" 97500000 98500000 98000000.5 25 25 1.94780931231313
"temp_spectre.195" 9.8e+07 9.9e+07 98500000.5 26 26 10.9938257322841
"temp_spectre.196" 98500000 99500000 99000000.5 98 98 8.69474925605182
"temp_spectre.197" 9.9e+07 1e+08 99500000.5 82 82 6.76339862975408
"temp_spectre.198" 1e+08 1.01e+08 100500000.5 13 13 3.67520810343619
"temp_spectre.199" 100500000 101500000 101000000.5 64 64 7.43543434148131
"temp_spectre.200" 1.01e+08 1.02e+08 101500000.5 54 54 11.227852677749
"temp_spectre.201" 101500000 102500000 102000000.5 8 8 6.49591939498245
"temp_spectre.202" 1.02e+08 1.03e+08 102500000.5 10 10 5.00404220498876
"temp_spectre.203" 102500000 103500000 103000000.5 8 8 11.9256331922345
"temp_spectre.204" 1.03e+08 1.04e+08 103500000.5 73 73 4.83445829649329
"temp_spectre.205" 103500000 104500000 104000000.5 80 80 4.11227346096888
"temp_spectre.206" 1.04e+08 1.05e+08 104500000.5 38 38 13.5061170848748
"temp_spectre.207" 104500000 105500000 105000000.5 36 36 15.8601163542456
"temp_spectre.208" 1.05e+08 1.06e+08 105500000.5 18 18 14.0663762032325
"temp_spectre.209" 105500000 106500000 106000000.5 47 47 14.0925600366334
"temp_spectre.210" 1.06e+08 1.07e+08 106500000.5 40 40 10.9303362653878
"temp_spectre.211" 106500000 107500000 107000000.5 35 35 22.1421624347562
"temp_spectre.212" 1.07e+08 1.08e+08 107500000.5 39 39 18.1126245059668
"temp_spectre.213" 107500000 108500000 108000000.5 7 7 5.39359856059468
"temp_spectre.214" 1.08e+08 1.09e+08 108500000.5 17 17 3.46439349680805
"temp_spectre.215" 108500000 109500000 109000000.5 34 34 4.19286754167217
"temp_spectre.216" 1.09e+08 1.1e+08 109500000.5 20 20 9.91567936152766
"temp_spectre.217" 109500000 110500000 110000000.5 14 14 4.43574142529866
"temp_spectre.218" 1.1e+08 1.11e+08 110500000.5 21 21 3.77368723145352
"temp_spectre.219" 110500000 111500000 111000000.5 88 88 7.31207749122423
"temp_spectre.220" 1.11e+08 1.12e+08 111500000.5 154 154 5.58462057628576
"temp_spectre.221" 111500000 112500000 112000000.5 108 108 2.58502427722255
"temp_spectre.222" 1.12e+08 1.13e+08 112500000.5 61 61 1.7027065483895
"temp_spectre.223" 112500000 113500000 113000000.5 55 55 2.92698575475816
"temp_spectre.224" 1.13e+08 1.14e+08 113500000.5 55 55 3.21989558212131
"temp_spectre.225" 113500000 114500000 114000000.5 46 46 2.62715392473133
"temp_spectre.226" 1.14e+08 1.15e+08 114500000.5 38 38 2.32763388893613
"temp_spectre.227" 114500000 115500000 115000000.5 50 50 7.57369040148458
"temp_spectre.228" 1.15e+08 1.16e+08 115500000.5 52 52 9.53188384481453
"temp_spectre.229" 115500000 116500000 116000000.5 48 48 2.35655830054171
"temp_spectre.230" 1.16e+08 1.17e+08 116500000.5 49 49 2.17926396885385
"temp_spectre.231" 116500000 117500000 117000000.5 53 53 1.82443326056225
"temp_spectre.232" 1.17e+08 1.18e+08 117500000.5 97 97 1.78715607417424
"temp_spectre.233" 117500000 118500000 118000000.5 149 149 2.2950469025921
"temp_spectre.234" 1.18e+08 1.19e+08 118500000.5 110 110 3.48021263675907
"temp_spectre.235" 118500000 119500000 119000000.5 53 53 4.94206086661346
"temp_spectre.236" 1.19e+08 1.2e+08 119500000.5 49 49 2.51810199688302
"temp_spectre.237" 119500000 120500000 120000000.5 56 56 3.67729452622504
"temp_spectre.238" 1.2e+08 1.21e+08 120500000.5 70 70 2.34530092240394
"temp_spectre.239" 120500000 121500000 121000000.5 69 69 1.80078955602582
"temp_spectre.240" 1.21e+08 1.22e+08 121500000.5 65 65 1.90101065437974
"temp_spectre.241" 121500000 122500000 122000000.5 66 66 1.5433956011161
"temp_spectre.242" 1.22e+08 1.23e+08 122500000.5 61 61 2.24115444889004
"temp_spectre.243" 122500000 123500000 123000000.5 89 89 2.21292224996111
"temp_spectre.244" 1.23e+08 1.24e+08 123500000.5 131 131 1.78588371467285
"temp_spectre.245" 123500000 124500000 124000000.5 103 103 2.30830434798696
"temp_spectre.246" 1.24e+08 1.25e+08 124500000.5 86 86 2.14950250179794
"temp_spectre.247" 124500000 125500000 125000000.5 108 108 2.74586694459538
"temp_spectre.248" 1.25e+08 1.26e+08 125500000.5 82 82 2.11155129054307
"temp_spectre.249" 125500000 126500000 126000000.5 71 71 2.32984005317018
"temp_spectre.250" 1.26e+08 1.27e+08 126500000.5 72 72 1.98568843687253
"temp_spectre.251" 126500000 127500000 127000000.5 60 60 2.71448678262438
"temp_spectre.252" 1.27e+08 1.28e+08 127500000.5 70 70 2.64436579890376
"temp_spectre.253" 127500000 128500000 128000000.5 66 66 2.0140079467961
"temp_spectre.254" 1.28e+08 1.29e+08 128500000.5 61 61 2.0216775358979
"temp_spectre.255" 128500000 129500000 129000000.5 55 55 2.32407282259751
"temp_spectre.256" 1.29e+08 1.3e+08 129500000.5 39 39 3.29305098118544
"temp_spectre.257" 129500000 130500000 130000000.5 54 54 3.73904930715985
"temp_spectre.258" 1.3e+08 1.31e+08 130500000.5 64 64 2.40945342698405
"temp_spectre.259" 130500000 131500000 131000000.5 71 71 1.49899706352726
"temp_spectre.260" 1.31e+08 1.32e+08 131500000.5 79 79 2.00798742750315
"temp_spectre.261" 131500000 132500000 132000000.5 92 92 3.13675028445801
"temp_spectre.262" 1.32e+08 1.33e+08 132500000.5 75 75 7.93412770521859
"temp_spectre.263" 132500000 133500000 133000000.5 45 45 5.07150261918765
"temp_spectre.264" 1.33e+08 1.34e+08 133500000.5 38 38 3.46756270444205
"temp_spectre.265" 133500000 134500000 134000000.5 66 66 5.57272880755189
"temp_spectre.266" 1.34e+08 1.35e+08 134500000.5 108 108 2.8304960852929
"temp_spectre.267" 134500000 135500000 135000000.5 100 100 2.35668592942262
"temp_spectre.268" 1.35e+08 1.36e+08 135500000.5 158 158 1.18062834746682
"temp_spectre.269" 135500000 136500000 136000000.5 148 148 1.31260751950831
"temp_spectre.270" 1.36e+08 1.37e+08 136500000.5 67 67 3.31569501324969
"temp_spectre.271" 136500000 137500000 137000000.5 67 67 2.22691097061034
"temp_spectre.272" 1.37e+08 1.38e+08 137500000.5 86 86 4.88990720138337
"temp_spectre.273" 137500000 138500000 138000000.5 71 71 6.9681302177551
"temp_spectre.274" 1.38e+08 1.39e+08 138500000.5 51 51 1.73651623295259
"temp_spectre.275" 138500000 139500000 139000000.5 54 54 2.60516238492108
"temp_spectre.276" 1.39e+08 1.4e+08 139500000.5 43 43 9.16826680495316
"temp_spectre.277" 139500000 140500000 140000000.5 39 39 10.5910791254527
"temp_spectre.278" 1.4e+08 1.41e+08 140500000.5 39 39 4.08370889006361
"temp_spectre.279" 140500000 141500000 141000000.5 77 77 2.36521214695141
"temp_spectre.280" 1.41e+08 1.42e+08 141500000.5 92 92 1.8233061871439
"temp_spectre.281" 141500000 142500000 142000000.5 62 62 2.14000421880088
"temp_spectre.282" 1.42e+08 1.43e+08 142500000.5 120 120 1.46806390036345
"temp_spectre.283" 142500000 143500000 143000000.5 133 133 1.43353603394611
"temp_spectre.284" 1.43e+08 1.44e+08 143500000.5 75 75 1.93351351907857
"temp_spectre.285" 143500000 144500000 144000000.5 60 60 3.36363185573342
"temp_spectre.286" 1.44e+08 1.45e+08 144500000.5 47 47 3.94514895529808
"temp_spectre.287" 144500000 145500000 145000000.5 72 72 2.26689857813274
"temp_spectre.288" 1.45e+08 1.46e+08 145500000.5 78 78 2.3340884435916
"temp_spectre.289" 145500000 146500000 146000000.5 67 67 2.52004340195471
"temp_spectre.290" 1.46e+08 1.47e+08 146500000.5 64 64 2.20895248332362
"temp_spectre.291" 146500000 147500000 147000000.5 45 45 2.47210129572179
"temp_spectre.292" 1.47e+08 1.48e+08 147500000.5 69 69 3.6617310378675
"temp_spectre.293" 147500000 148500000 148000000.5 89 89 2.81678369402172
"temp_spectre.294" 1.48e+08 1.49e+08 148500000.5 70 70 2.3989251417208
"temp_spectre.295" 148500000 149500000 149000000.5 61 61 2.12834982392517
"temp_spectre.296" 1.49e+08 1.5e+08 149500000.5 66 66 1.8731985791491
"temp_spectre.297" 149500000 150500000 150000000.5 58 58 2.63747860395541
"temp_spectre.298" 1.5e+08 1.51e+08 150500000.5 66 66 2.71758746544925
"temp_spectre.299" 150500000 151500000 151000000.5 78 78 3.20147486872267
"temp_spectre.300" 1.51e+08 1.52e+08 151500000.5 76 76 2.51314205560526
"temp_spectre.301" 151500000 152500000 152000000.5 73 73 1.9002906872895
"temp_spectre.302" 1.52e+08 1.53e+08 152500000.5 84 84 1.83783520433732
"temp_spectre.303" 152500000 153500000 153000000.5 101 101 1.54050028045602
"temp_spectre.304" 1.53e+08 1.54e+08 153500000.5 72 72 1.76660377437626
"temp_spectre.305" 153500000 154500000 154000000.5 55 55 2.68766436438669
"temp_spectre.306" 1.54e+08 1.55e+08 154500000.5 56 56 2.7848386197524
"temp_spectre.307" 154500000 155500000 155000000.5 75 75 2.29863909711899
"temp_spectre.308" 1.55e+08 1.56e+08 155500000.5 97 97 2.00558019541173
"temp_spectre.309" 155500000 156500000 156000000.5 71 71 2.63348528013066
"temp_spectre.310" 1.56e+08 1.57e+08 156500000.5 83 83 2.20978390525427
"temp_spectre.311" 156500000 157500000 157000000.5 123 123 1.27916364334079
"temp_spectre.312" 1.57e+08 1.58e+08 157500000.5 129 129 1.1151460671924
"temp_spectre.313" 157500000 158500000 158000000.5 108 108 1.59261290638027
"temp_spectre.314" 1.58e+08 1.59e+08 158500000.5 82 82 3.96330362478278
"temp_spectre.315" 158500000 159500000 159000000.5 80 80 2.58237037476758
"temp_spectre.316" 1.59e+08 1.6e+08 159500000.5 101 101 1.43489493545631
"temp_spectre.317" 159500000 160500000 160000000.5 106 106 2.62064634182713
"temp_spectre.318" 1.6e+08 1.61e+08 160500000.5 100 100 1.34535489693879
"temp_spectre.319" 160500000 161500000 161000000.5 112 112 1.23564906943785
"temp_spectre.320" 1.61e+08 1.62e+08 161500000.5 98 98 1.50902893615494
"temp_spectre.321" 161500000 162500000 162000000.5 66 66 3.0331505302298
"temp_spectre.322" 1.62e+08 1.63e+08 162500000.5 69 69 1.91003414946116
"temp_spectre.323" 162500000 163500000 163000000.5 91 91 2.9343679363121
"temp_spectre.324" 1.63e+08 1.64e+08 163500000.5 102 102 2.81096921512734
"temp_spectre.325" 163500000 164500000 164000000.5 98 98 1.54560537465857
"temp_spectre.326" 1.64e+08 1.65e+08 164500000.5 118 118 1.31493181255575
"temp_spectre.327" 164500000 165500000 165000000.5 96 96 1.94681626287934
"temp_spectre.328" 1.65e+08 1.66e+08 165500000.5 76 76 2.14450389445119
"temp_spectre.329" 165500000 166500000 166000000.5 127 127 1.46257695868123
"temp_spectre.330" 1.66e+08 1.67e+08 166500000.5 121 121 1.96228559537673
"temp_spectre.331" 166500000 167500000 167000000.5 105 105 1.00834402940794
"temp_spectre.332" 1.67e+08 1.68e+08 167500000.5 98 98 1.13798203393447
"temp_spectre.333" 167500000 168500000 168000000.5 84 84 2.0124056886589
"temp_spectre.334" 1.68e+08 1.69e+08 168500000.5 76 76 2.23020011584791
"temp_spectre.335" 168500000 169500000 169000000.5 106 106 2.46261812347302
"temp_spectre.336" 1.69e+08 1.7e+08 169500000.5 107 107 2.5936726457706
"temp_spectre.337" 169500000 170500000 170000000.5 40 40 4.13482021605376
"temp_spectre.338" 1.7e+08 1.71e+08 170500000.5 66 66 1.31809219921828
"temp_spectre.339" 170500000 171500000 171000000.5 104 104 1.3655648064532
"temp_spectre.340" 1.71e+08 1.72e+08 171500000.5 51 51 4.64701313697071
"temp_spectre.341" 171500000 172500000 172000000.5 6 6 16.6032633795161
