"low_bound_SFS" "upper_bound_SFS" "mid_wind_SFS" "Nmb_Positions_SFS" "Nb_SNP_SFS" "dist_eucli"
"temp_spectre.24" 1.2e+07 1.3e+07 12500000.5 93 93 2.53147558404185
"temp_spectre.25" 12500000 13500000 13000000.5 252 252 1.2470548070265
"temp_spectre.26" 1.3e+07 1.4e+07 13500000.5 279 279 0.869416554434155
"temp_spectre.27" 13500000 14500000 14000000.5 96 96 2.89953276144123
"temp_spectre.28" 1.4e+07 1.5e+07 14500000.5 31 31 9.04752561468965
"temp_spectre.29" 14500000 15500000 15000000.5 14 14 6.01383419101689
"temp_spectre.30" 1.5e+07 1.6e+07 15500000.5 58 58 2.88079240016414
"temp_spectre.31" 15500000 16500000 16000000.5 85 85 2.42696130943703
"temp_spectre.32" 1.6e+07 1.7e+07 16500000.5 63 63 3.07283800620484
"temp_spectre.33" 16500000 17500000 17000000.5 67 67 1.98772744906929
"temp_spectre.34" 1.7e+07 1.8e+07 17500000.5 84 84 1.73290429729759
"temp_spectre.35" 17500000 18500000 18000000.5 98 98 2.81888968976847
"temp_spectre.36" 1.8e+07 1.9e+07 18500000.5 88 88 2.62539753459027
"temp_spectre.37" 18500000 19500000 19000000.5 66 66 2.32208011716801
"temp_spectre.38" 1.9e+07 2e+07 19500000.5 71 71 1.40634148494493
"temp_spectre.39" 19500000 20500000 20000000.5 79 79 1.40899566512813
"temp_spectre.40" 2e+07 2.1e+07 20500000.5 88 88 1.38646632727784
"temp_spectre.41" 20500000 21500000 21000000.5 73 73 2.43071541257262
"temp_spectre.42" 2.1e+07 2.2e+07 21500000.5 57 57 2.82605517831184
"temp_spectre.43" 21500000 22500000 22000000.5 65 65 2.17231926735269
"temp_spectre.44" 2.2e+07 2.3e+07 22500000.5 86 86 1.70908637932849
"temp_spectre.45" 22500000 23500000 23000000.5 95 95 1.75033252920587
"temp_spectre.46" 2.3e+07 2.4e+07 23500000.5 72 72 2.49151013575529
"temp_spectre.47" 23500000 24500000 24000000.5 73 73 1.77390554162631
"temp_spectre.48" 2.4e+07 2.5e+07 24500000.5 70 70 2.02533970430138
"temp_spectre.49" 24500000 25500000 25000000.5 58 58 1.61343837364359
"temp_spectre.50" 2.5e+07 2.6e+07 25500000.5 67 67 1.80983888754681
"temp_spectre.51" 25500000 26500000 26000000.5 56 56 1.40883187609767
"temp_spectre.52" 2.6e+07 2.7e+07 26500000.5 63 63 1.45679537196518
"temp_spectre.53" 26500000 27500000 27000000.5 73 73 2.00358625855359
"temp_spectre.54" 2.7e+07 2.8e+07 27500000.5 77 77 2.31215664831253
"temp_spectre.55" 27500000 28500000 28000000.5 86 86 1.85603401897092
"temp_spectre.56" 2.8e+07 2.9e+07 28500000.5 69 69 2.60972167277687
"temp_spectre.57" 28500000 29500000 29000000.5 76 76 4.43073858246456
"temp_spectre.58" 2.9e+07 3e+07 29500000.5 79 79 2.27111623748559
"temp_spectre.59" 29500000 30500000 30000000.5 79 79 1.48580765285173
"temp_spectre.60" 3e+07 3.1e+07 30500000.5 93 93 1.49899824407513
"temp_spectre.61" 30500000 31500000 31000000.5 76 76 3.00662761256979
"temp_spectre.62" 3.1e+07 3.2e+07 31500000.5 58 58 2.54078366394543
"temp_spectre.63" 31500000 32500000 32000000.5 58 58 5.22195776894938
"temp_spectre.64" 3.2e+07 3.3e+07 32500000.5 66 66 2.6647657428159
"temp_spectre.65" 32500000 33500000 33000000.5 61 61 1.97110953327941
"temp_spectre.66" 3.3e+07 3.4e+07 33500000.5 56 56 3.47357310898482
"temp_spectre.67" 33500000 34500000 34000000.5 55 55 4.38532725588026
"temp_spectre.68" 3.4e+07 3.5e+07 34500000.5 47 47 7.20730917575567
"temp_spectre.69" 34500000 35500000 35000000.5 50 50 4.15268797198453
"temp_spectre.70" 3.5e+07 3.6e+07 35500000.5 60 60 2.65451493881662
"temp_spectre.71" 35500000 36500000 36000000.5 67 67 1.97521241403332
"temp_spectre.72" 3.6e+07 3.7e+07 36500000.5 64 64 1.82142650001957
"temp_spectre.73" 36500000 37500000 37000000.5 76 76 2.10556765246281
"temp_spectre.74" 3.7e+07 3.8e+07 37500000.5 86 86 2.4745444957365
"temp_spectre.75" 37500000 38500000 38000000.5 73 73 2.22847053556498
"temp_spectre.76" 3.8e+07 3.9e+07 38500000.5 65 65 2.9987241012527
"temp_spectre.77" 38500000 39500000 39000000.5 61 61 3.44523774280707
"temp_spectre.78" 3.9e+07 4e+07 39500000.5 83 83 1.95162777790738
"temp_spectre.79" 39500000 40500000 40000000.5 100 100 3.91857596276568
"temp_spectre.80" 4e+07 4.1e+07 40500000.5 90 90 3.81539654749152
"temp_spectre.81" 40500000 41500000 41000000.5 62 62 1.79988048821145
"temp_spectre.82" 4.1e+07 4.2e+07 41500000.5 50 50 2.63812895593367
"temp_spectre.83" 41500000 42500000 42000000.5 61 61 2.74233457526962
"temp_spectre.84" 4.2e+07 4.3e+07 42500000.5 49 49 1.92986480799495
"temp_spectre.85" 42500000 43500000 43000000.5 42 42 2.96386815138449
"temp_spectre.86" 4.3e+07 4.4e+07 43500000.5 81 81 2.34629705866646
"temp_spectre.87" 43500000 44500000 44000000.5 84 84 2.12445444772347
"temp_spectre.88" 4.4e+07 4.5e+07 44500000.5 55 55 1.86834596019832
"temp_spectre.89" 44500000 45500000 45000000.5 57 57 1.21370399553862
"temp_spectre.90" 4.5e+07 4.6e+07 45500000.5 68 68 1.62335623084202
"temp_spectre.91" 45500000 46500000 46000000.5 79 79 1.96813184036683
"temp_spectre.92" 4.6e+07 4.7e+07 46500000.5 59 59 1.69586406101772
"temp_spectre.93" 46500000 47500000 47000000.5 49 49 7.34482895638736
"temp_spectre.94" 4.7e+07 4.8e+07 47500000.5 43 43 5.70898455472006
"temp_spectre.95" 47500000 48500000 48000000.5 32 32 2.63685393475298
"temp_spectre.96" 4.8e+07 4.9e+07 48500000.5 50 50 3.38917081896102
"temp_spectre.97" 48500000 49500000 49000000.5 69 69 2.94744081859247
"temp_spectre.98" 4.9e+07 5e+07 49500000.5 62 62 2.61463924102187
"temp_spectre.99" 49500000 50500000 50000000.5 32 32 3.83568907441526
"temp_spectre.100" 5e+07 5.1e+07 50500000.5 42 42 2.71241530010181
"temp_spectre.101" 50500000 51500000 51000000.5 64 64 1.82411316881612
"temp_spectre.102" 5.1e+07 5.2e+07 51500000.5 68 68 2.37423703429677
"temp_spectre.103" 51500000 52500000 52000000.5 71 71 2.32987636635322
"temp_spectre.104" 5.2e+07 5.3e+07 52500000.5 52 52 2.93225482802514
"temp_spectre.105" 52500000 53500000 53000000.5 49 49 4.28760441865871
"temp_spectre.106" 5.3e+07 5.4e+07 53500000.5 71 71 2.53667883290519
"temp_spectre.107" 53500000 54500000 54000000.5 90 90 2.20278988084135
"temp_spectre.108" 5.4e+07 5.5e+07 54500000.5 96 96 1.63598788643878
"temp_spectre.109" 54500000 55500000 55000000.5 93 93 1.71853797094215
"temp_spectre.110" 5.5e+07 5.6e+07 55500000.5 71 71 1.56842867508173
"temp_spectre.111" 55500000 56500000 56000000.5 67 67 3.13816421115379
"temp_spectre.112" 5.6e+07 5.7e+07 56500000.5 75 75 2.24785901602142
"temp_spectre.113" 56500000 57500000 57000000.5 47 47 1.86684525870285
"temp_spectre.114" 5.7e+07 5.8e+07 57500000.5 32 32 2.82641707657302
"temp_spectre.115" 57500000 58500000 58000000.5 47 47 2.42326810810573
"temp_spectre.116" 5.8e+07 5.9e+07 58500000.5 111 111 1.11663717472971
"temp_spectre.117" 58500000 59500000 59000000.5 110 110 1.47730384713376
"temp_spectre.118" 5.9e+07 6e+07 59500000.5 60 60 5.14575602347366
"temp_spectre.119" 59500000 60500000 60000000.5 60 60 3.23186016537281
"temp_spectre.120" 6e+07 6.1e+07 60500000.5 64 64 4.11489284983055
"temp_spectre.121" 60500000 61500000 61000000.5 57 57 3.8798404339788
"temp_spectre.122" 6.1e+07 6.2e+07 61500000.5 49 49 3.00481538970354
"temp_spectre.123" 61500000 62500000 62000000.5 62 62 3.45819360205452
"temp_spectre.124" 6.2e+07 6.3e+07 62500000.5 68 68 3.60637676291584
"temp_spectre.125" 62500000 63500000 63000000.5 61 61 2.34451108663452
"temp_spectre.126" 6.3e+07 6.4e+07 63500000.5 59 59 2.19169880046814
"temp_spectre.127" 63500000 64500000 64000000.5 64 64 2.56595517408243
"temp_spectre.128" 6.4e+07 6.5e+07 64500000.5 51 51 3.98343428912715
"temp_spectre.129" 64500000 65500000 65000000.5 42 42 2.9443258171847
"temp_spectre.130" 6.5e+07 6.6e+07 65500000.5 51 51 2.57536237070167
"temp_spectre.131" 65500000 66500000 66000000.5 37 37 3.19911916242774
"temp_spectre.132" 6.6e+07 6.7e+07 66500000.5 55 55 3.04532102278369
"temp_spectre.133" 66500000 67500000 67000000.5 64 64 4.85731703741855
"temp_spectre.134" 6.7e+07 6.8e+07 67500000.5 40 40 6.37781164571807
"temp_spectre.135" 67500000 68500000 68000000.5 70 70 4.73848460429168
"temp_spectre.136" 6.8e+07 6.9e+07 68500000.5 71 71 3.01088204620744
"temp_spectre.137" 68500000 69500000 69000000.5 46 46 4.06706477771927
"temp_spectre.138" 6.9e+07 7e+07 69500000.5 43 43 3.77172810281525
"temp_spectre.139" 69500000 70500000 70000000.5 49 49 3.6975632270008
"temp_spectre.140" 7e+07 7.1e+07 70500000.5 63 63 4.033273635405
"temp_spectre.141" 70500000 71500000 71000000.5 55 55 3.0029054790884
"temp_spectre.142" 7.1e+07 7.2e+07 71500000.5 92 92 6.13094815661285
"temp_spectre.143" 71500000 72500000 72000000.5 137 137 2.92835490252358
"temp_spectre.144" 7.2e+07 7.3e+07 72500000.5 88 88 2.43015391451899
"temp_spectre.145" 72500000 73500000 73000000.5 25 25 4.56263910559581
"temp_spectre.146" 7.3e+07 7.4e+07 73500000.5 30 30 5.93795598471222
"temp_spectre.147" 73500000 74500000 74000000.5 50 50 5.91695507510047
"temp_spectre.148" 7.4e+07 7.5e+07 74500000.5 57 57 2.59616279323319
"temp_spectre.149" 74500000 75500000 75000000.5 36 36 2.92261635759825
"temp_spectre.150" 7.5e+07 7.6e+07 75500000.5 15 15 33.7028421487783
"temp_spectre.151" 75500000 76500000 76000000.5 29 29 13.4289658021267
"temp_spectre.152" 7.6e+07 7.7e+07 76500000.5 27 27 11.2770006945417
"temp_spectre.153" 76500000 77500000 77000000.5 18 18 15.2126217014578
"temp_spectre.154" 7.7e+07 7.8e+07 77500000.5 30 30 4.6180632776106
"temp_spectre.155" 77500000 78500000 78000000.5 59 59 2.05335680025734
"temp_spectre.156" 7.8e+07 7.9e+07 78500000.5 83 83 1.8715236036383
"temp_spectre.157" 78500000 79500000 79000000.5 52 52 2.77373891009678
"temp_spectre.158" 7.9e+07 8e+07 79500000.5 7 7 16.0121727908983
"temp_spectre.159" 79500000 80500000 80000000.5 51 51 1.76635769219016
"temp_spectre.160" 8e+07 8.1e+07 80500000.5 71 71 1.62903836606864
"temp_spectre.161" 80500000 81500000 81000000.5 29 29 6.63031199142673
"temp_spectre.162" 8.1e+07 8.2e+07 81500000.5 18 18 5.29644774551051
"temp_spectre.163" 81500000 82500000 82000000.5 42 42 1.815499097846
"temp_spectre.164" 8.2e+07 8.3e+07 82500000.5 31 31 2.56172947808165
"temp_spectre.165" 82500000 83500000 83000000.5 26 26 176.470193337123
"temp_spectre.166" 8.3e+07 8.4e+07 83500000.5 30 30 120.268847598017
"temp_spectre.167" 83500000 84500000 84000000.5 37 37 2.06388286145571
"temp_spectre.168" 8.4e+07 8.5e+07 84500000.5 44 44 2.81716833346547
"temp_spectre.169" 84500000 85500000 85000000.5 33 33 4.59466373293654
"temp_spectre.170" 8.5e+07 8.6e+07 85500000.5 27 27 5.35189596983272
"temp_spectre.171" 85500000 86500000 86000000.5 7 7 23.1062501921018
"temp_spectre.172" 8.6e+07 8.7e+07 86500000.5 4 4 42.4058857254579
"temp_spectre.173" 86500000 87500000 87000000.5 2 2 81.1371917507248
"temp_spectre.174" 87500000 88500000 88000000.5 25 25 3.64067041191374
"temp_spectre.175" 8.8e+07 8.9e+07 88500000.5 48 48 2.38122469092162
"temp_spectre.176" 88500000 89500000 89000000.5 37 37 2.93908324622062
"temp_spectre.177" 8.9e+07 9e+07 89500000.5 16 16 11.2373574978018
"temp_spectre.178" 89500000 90500000 90000000.5 7 7 22.0348805312783
"temp_spectre.179" 9e+07 9.1e+07 90500000.5 58 58 8.12372047239105
"temp_spectre.180" 90500000 91500000 91000000.5 247 247 1.61963984238522
"temp_spectre.181" 9.1e+07 9.2e+07 91500000.5 232 232 1.59228009800241
"temp_spectre.182" 91500000 92500000 92000000.5 90 90 2.5190279445487
"temp_spectre.183" 9.2e+07 9.3e+07 92500000.5 58 58 3.39890663531794
"temp_spectre.184" 92500000 93500000 93000000.5 12 12 8.43721139091262
"temp_spectre.185" 9.3e+07 9.4e+07 93500000.5 12 12 4.37578276071042
"temp_spectre.186" 93500000 94500000 94000000.5 10 10 4.49521360459049
"temp_spectre.187" 9.4e+07 9.5e+07 94500000.5 6 6 14.2667626044575
"temp_spectre.188" 94500000 95500000 95000000.5 9 9 4.1076563387151
"temp_spectre.189" 9.5e+07 9.6e+07 95500000.5 22 22 3.59263841840853
"temp_spectre.190" 95500000 96500000 96000000.5 38 38 3.27180701943144
"temp_spectre.191" 9.6e+07 9.7e+07 96500000.5 248 248 0.94549643105193
"temp_spectre.192" 96500000 97500000 97000000.5 233 233 0.913620897519344
"temp_spectre.193" 9.7e+07 9.8e+07 97500000.5 11 11 5.71420507405353
"temp_spectre.194" 97500000 98500000 98000000.5 9 9 8.50574725835072
"temp_spectre.195" 9.8e+07 9.9e+07 98500000.5 11 11 7.11243663540547
"temp_spectre.196" 98500000 99500000 99000000.5 27 27 4.73176787836239
"temp_spectre.197" 9.9e+07 1e+08 99500000.5 49 49 1.87897597829314
"temp_spectre.198" 99500000 100500000 100000000.5 38 38 2.17555161462598
"temp_spectre.199" 1e+08 1.01e+08 100500000.5 29 29 8.2844441923752
"temp_spectre.200" 100500000 101500000 101000000.5 44 44 5.76381061295953
"temp_spectre.201" 1.01e+08 1.02e+08 101500000.5 39 39 2.88377608658661
"temp_spectre.202" 101500000 102500000 102000000.5 36 36 11.040419961694
"temp_spectre.203" 1.02e+08 1.03e+08 102500000.5 44 44 12.4872423952266
"temp_spectre.204" 102500000 103500000 103000000.5 25 25 5.00879757494687
"temp_spectre.205" 1.03e+08 1.04e+08 103500000.5 12 12 6.35085796178093
"temp_spectre.206" 103500000 104500000 104000000.5 29 29 4.24246512016521
"temp_spectre.207" 1.04e+08 1.05e+08 104500000.5 46 46 4.10438569370748
"temp_spectre.208" 104500000 105500000 105000000.5 46 46 3.64969619948138
"temp_spectre.209" 1.05e+08 1.06e+08 105500000.5 43 43 3.40047517652137
"temp_spectre.210" 105500000 106500000 106000000.5 55 55 3.14825414076082
"temp_spectre.211" 1.06e+08 1.07e+08 106500000.5 78 78 2.51625022825546
"temp_spectre.212" 106500000 107500000 107000000.5 72 72 1.91219231380959
"temp_spectre.213" 1.07e+08 1.08e+08 107500000.5 123 123 3.19843384245172
"temp_spectre.214" 107500000 108500000 108000000.5 149 149 2.43681469352113
"temp_spectre.215" 1.08e+08 1.09e+08 108500000.5 104 104 1.51033954033202
"temp_spectre.216" 108500000 109500000 109000000.5 73 73 2.09820320295274
"temp_spectre.217" 1.09e+08 1.1e+08 109500000.5 96 96 2.33657603231497
"temp_spectre.218" 109500000 110500000 110000000.5 120 120 1.73059506812247
"temp_spectre.219" 1.1e+08 1.11e+08 110500000.5 74 74 3.75378333594418
"temp_spectre.220" 110500000 111500000 111000000.5 64 64 4.66049901906324
"temp_spectre.221" 1.11e+08 1.12e+08 111500000.5 79 79 2.02381957632976
"temp_spectre.222" 111500000 112500000 112000000.5 81 81 1.8771148195131
"temp_spectre.223" 1.12e+08 1.13e+08 112500000.5 67 67 2.55251223748598
"temp_spectre.224" 112500000 113500000 113000000.5 53 53 2.09569259632501
"temp_spectre.225" 1.13e+08 1.14e+08 113500000.5 61 61 2.2215871890579
"temp_spectre.226" 113500000 114500000 114000000.5 92 92 5.89992479956049
"temp_spectre.227" 1.14e+08 1.15e+08 114500000.5 90 90 10.9681974256264
"temp_spectre.228" 114500000 115500000 115000000.5 77 77 3.13964173187127
"temp_spectre.229" 1.15e+08 1.16e+08 115500000.5 50 50 4.5903691624397
"temp_spectre.230" 115500000 116500000 116000000.5 28 28 2.30552440248108
"temp_spectre.231" 1.16e+08 1.17e+08 116500000.5 55 55 2.01284510979934
"temp_spectre.232" 116500000 117500000 117000000.5 80 80 2.12328003886494
"temp_spectre.233" 1.17e+08 1.18e+08 117500000.5 82 82 1.69838699744287
"temp_spectre.234" 117500000 118500000 118000000.5 85 85 2.09135805721957
"temp_spectre.235" 1.18e+08 1.19e+08 118500000.5 84 84 2.22488935936728
"temp_spectre.236" 118500000 119500000 119000000.5 81 81 2.64463425415519
"temp_spectre.237" 1.19e+08 1.2e+08 119500000.5 83 83 1.73332528633232
"temp_spectre.238" 119500000 120500000 120000000.5 56 56 2.5368043014544
"temp_spectre.239" 1.2e+08 1.21e+08 120500000.5 64 64 2.21551070205447
"temp_spectre.240" 120500000 121500000 121000000.5 81 81 1.9353835113681
"temp_spectre.241" 1.21e+08 1.22e+08 121500000.5 98 98 3.75908811907916
"temp_spectre.242" 121500000 122500000 122000000.5 94 94 3.09047803579808
"temp_spectre.243" 1.22e+08 1.23e+08 122500000.5 51 51 5.5144965443673
"temp_spectre.244" 122500000 123500000 123000000.5 141 141 2.2902081520342
"temp_spectre.245" 1.23e+08 1.24e+08 123500000.5 163 163 1.57562783795181
"temp_spectre.246" 123500000 124500000 124000000.5 56 56 2.34819868923867
"temp_spectre.247" 1.24e+08 1.25e+08 124500000.5 32 32 2.43932822513687
"temp_spectre.248" 124500000 125500000 125000000.5 25 25 2.64809609452954
"temp_spectre.249" 1.25e+08 1.26e+08 125500000.5 44 44 2.38702270219453
"temp_spectre.250" 125500000 126500000 126000000.5 80 80 2.77892797756854
"temp_spectre.251" 1.26e+08 1.27e+08 126500000.5 83 83 2.19939644011868
"temp_spectre.252" 126500000 127500000 127000000.5 62 62 2.31891382543033
"temp_spectre.253" 1.27e+08 1.28e+08 127500000.5 69 69 2.44055569049196
"temp_spectre.254" 127500000 128500000 128000000.5 83 83 2.03445526520241
"temp_spectre.255" 1.28e+08 1.29e+08 128500000.5 70 70 1.91375665684936
"temp_spectre.256" 128500000 129500000 129000000.5 60 60 1.35514254963254
"temp_spectre.257" 1.29e+08 1.3e+08 129500000.5 55 55 1.43840739293804
"temp_spectre.258" 129500000 130500000 130000000.5 71 71 1.76679569043232
"temp_spectre.259" 1.3e+08 1.31e+08 130500000.5 86 86 3.12606877766555
"temp_spectre.260" 130500000 131500000 131000000.5 103 103 2.49570731721485
"temp_spectre.261" 1.31e+08 1.32e+08 131500000.5 104 104 1.75050773281663
"temp_spectre.262" 131500000 132500000 132000000.5 94 94 1.69464392525623
"temp_spectre.263" 1.32e+08 1.33e+08 132500000.5 91 91 1.41331322358897
"temp_spectre.264" 132500000 133500000 133000000.5 77 77 3.06538096224216
"temp_spectre.265" 1.33e+08 1.34e+08 133500000.5 77 77 3.43527797162802
"temp_spectre.266" 133500000 134500000 134000000.5 83 83 1.44981693618737
"temp_spectre.267" 1.34e+08 1.35e+08 134500000.5 92 92 2.05174377407367
"temp_spectre.268" 134500000 135500000 135000000.5 92 92 2.07214427466281
"temp_spectre.269" 1.35e+08 1.36e+08 135500000.5 88 88 2.07227384433058
"temp_spectre.270" 135500000 136500000 136000000.5 96 96 1.51328332933464
"temp_spectre.271" 1.36e+08 1.37e+08 136500000.5 88 88 1.29736067612802
"temp_spectre.272" 136500000 137500000 137000000.5 90 90 1.05807515384917
"temp_spectre.273" 1.37e+08 1.38e+08 137500000.5 83 83 1.67886890748
"temp_spectre.274" 137500000 138500000 138000000.5 62 62 2.11303184167023
"temp_spectre.275" 1.38e+08 1.39e+08 138500000.5 69 69 3.17724488392179
"temp_spectre.276" 138500000 139500000 139000000.5 81 81 2.94296670915178
"temp_spectre.277" 1.39e+08 1.4e+08 139500000.5 80 80 1.93022290945075
"temp_spectre.278" 139500000 140500000 140000000.5 93 93 0.922450617584132
"temp_spectre.279" 1.4e+08 1.41e+08 140500000.5 102 102 0.951757570992402
"temp_spectre.280" 140500000 141500000 141000000.5 67 67 1.76370015908836
"temp_spectre.281" 1.41e+08 1.42e+08 141500000.5 49 49 2.80268167704217
"temp_spectre.282" 141500000 142500000 142000000.5 78 78 2.02986178813845
"temp_spectre.283" 1.42e+08 1.43e+08 142500000.5 88 88 1.99761113268076
"temp_spectre.284" 142500000 143500000 143000000.5 72 72 3.34237798266553
"temp_spectre.285" 1.43e+08 1.44e+08 143500000.5 79 79 1.1226239361554
"temp_spectre.286" 143500000 144500000 144000000.5 108 108 2.24264146553455
"temp_spectre.287" 1.44e+08 1.45e+08 144500000.5 110 110 1.95469024450525
"temp_spectre.288" 144500000 145500000 145000000.5 94 94 1.43647820522157
"temp_spectre.289" 1.45e+08 1.46e+08 145500000.5 79 79 2.3763757760345
"temp_spectre.290" 145500000 146500000 146000000.5 71 71 2.97792039169467
"temp_spectre.291" 1.46e+08 1.47e+08 146500000.5 87 87 1.34587871000875
"temp_spectre.292" 146500000 147500000 147000000.5 95 95 1.83058119360399
"temp_spectre.293" 1.47e+08 1.48e+08 147500000.5 76 76 2.6380645097456
"temp_spectre.294" 147500000 148500000 148000000.5 69 69 3.02251323052616
"temp_spectre.295" 1.48e+08 1.49e+08 148500000.5 87 87 1.77585447238311
"temp_spectre.296" 148500000 149500000 149000000.5 83 83 1.04470253215738
"temp_spectre.297" 1.49e+08 1.5e+08 149500000.5 65 65 1.79402415435087
"temp_spectre.298" 149500000 150500000 150000000.5 37 37 3.23639023089059
"temp_spectre.299" 1.5e+08 1.51e+08 150500000.5 7 7 20.3608886801642
