per_plot V2 V3 V4 V5
temp_spectre.83 42000000.5 112 9 28 8
temp_spectre.84 42500000.5 74 9 7 10
temp_spectre.85 43000000.5 61 5 6 7
temp_spectre.86 43500000.5 71 11 4 6
temp_spectre.87 44000000.5 59 13 6 6
temp_spectre.88 44500000.5 50 8 8 8
temp_spectre.89 45000000.5 52 4 13 5
temp_spectre.90 45500000.5 62 8 22 1
temp_spectre.91 46000000.5 63 14 24 2
temp_spectre.92 46500000.5 60 9 20 5
temp_spectre.93 47000000.5 69 15 13 3
temp_spectre.94 47500000.5 91 26 12 3
temp_spectre.95 48000000.5 80 19 11 4
temp_spectre.96 48500000.5 53 5 9 1
temp_spectre.97 49000000.5 70 1 7 9
temp_spectre.98 49500000.5 61 1 8 9
temp_spectre.99 50000000.5 35 1 7 0
temp_spectre.100 50500000.5 47 5 6 1
temp_spectre.101 51000000.5 57 5 14 2
temp_spectre.102 51500000.5 49 1 18 1
temp_spectre.103 52000000.5 36 0 12 0
temp_spectre.104 52500000.5 67 2 11 0
temp_spectre.105 53000000.5 82 3 11 5
temp_spectre.106 53500000.5 65 4 8 7
temp_spectre.107 54000000.5 71 8 9 2
temp_spectre.108 54500000.5 75 11 8 2
temp_spectre.109 55000000.5 77 11 7 3
temp_spectre.110 55500000.5 71 10 13 2
temp_spectre.111 56000000.5 87 16 14 2
temp_spectre.112 56500000.5 93 21 10 1
temp_spectre.113 57000000.5 72 15 10 4
temp_spectre.114 57500000.5 68 5 7 15
temp_spectre.115 58000000.5 57 5 6 11
temp_spectre.116 58500000.5 62 6 8 4
temp_spectre.117 59000000.5 74 2 10 5
temp_spectre.118 59500000.5 65 8 8 1
temp_spectre.119 60000000.5 43 12 3 1
temp_spectre.120 60500000.5 41 11 5 1
temp_spectre.121 61000000.5 72 23 8 5
temp_spectre.122 61500000.5 73 25 12 5
temp_spectre.123 62000000.5 60 17 11 2
temp_spectre.124 62500000.5 44 12 4 5
temp_spectre.125 63000000.5 57 18 7 7
temp_spectre.126 63500000.5 63 17 6 6
temp_spectre.127 64000000.5 27 2 3 2
temp_spectre.128 64500000.5 41 2 8 1
temp_spectre.129 65000000.5 49 6 7 1
temp_spectre.130 65500000.5 35 6 5 0
temp_spectre.131 66000000.5 32 4 8 0
temp_spectre.132 66500000.5 24 2 5 0
temp_spectre.133 67000000.5 52 4 2 0
temp_spectre.134 67500000.5 58 9 3 5
temp_spectre.135 68000000.5 30 5 5 5
temp_spectre.136 68500000.5 23 0 3 0
temp_spectre.137 69000000.5 45 3 0 2
temp_spectre.138 69500000.5 65 5 2 6
temp_spectre.139 70000000.5 69 10 6 8
temp_spectre.140 70500000.5 70 11 5 4
temp_spectre.141 71000000.5 65 12 1 0
temp_spectre.142 71500000.5 65 20 7 1
temp_spectre.143 72000000.5 73 24 9 1
temp_spectre.144 72500000.5 61 17 5 0
temp_spectre.145 73000000.5 48 11 9 0
temp_spectre.146 73500000.5 60 13 6 1
temp_spectre.147 74000000.5 44 8 0 2
temp_spectre.148 74500000.5 40 3 7 2
temp_spectre.149 75000000.5 75 2 18 1
temp_spectre.150 75500000.5 74 6 16 0
temp_spectre.151 76000000.5 44 5 5 0
temp_spectre.152 76500000.5 28 0 0 0
temp_spectre.153 77000000.5 65 4 0 0
temp_spectre.154 77500000.5 73 5 0 4
temp_spectre.155 78000000.5 34 1 2 4
temp_spectre.156 78500000.5 32 0 4 4
temp_spectre.157 79000000.5 16 0 2 4
temp_spectre.158 80000000.5 8 2 0 0
temp_spectre.159 80500000.5 23 9 0 1
temp_spectre.160 81000000.5 33 10 0 1
temp_spectre.161 81500000.5 35 4 0 4
temp_spectre.162 82000000.5 30 4 1 4
temp_spectre.163 82500000.5 39 9 4 9
temp_spectre.164 83000000.5 203 41 29 29
temp_spectre.165 83500000.5 198 43 27 20
temp_spectre.166 84000000.5 33 15 1 0
temp_spectre.167 84500000.5 25 8 3 1
temp_spectre.168 85000000.5 20 4 4 1
temp_spectre.169 85500000.5 14 6 2 0
temp_spectre.170 86000000.5 10 5 1 0
temp_spectre.171 86500000.5 70 10 13 9
temp_spectre.172 87000000.5 74 10 13 10
temp_spectre.173 87500000.5 36 10 1 6
temp_spectre.174 88000000.5 57 17 3 5
temp_spectre.175 88500000.5 57 19 7 11
temp_spectre.176 89000000.5 104 18 47 11
temp_spectre.177 89500000.5 79 8 45 0
temp_spectre.178 90000000.5 47 8 17 1
temp_spectre.179 90500000.5 84 22 16 2
temp_spectre.180 91000000.5 49 17 2 2
temp_spectre.181 91500000.5 84 16 9 7
temp_spectre.182 92000000.5 111 24 21 9
temp_spectre.183 92500000.5 46 13 12 3
temp_spectre.184 93000000.5 16 4 1 0
temp_spectre.185 93500000.5 13 4 2 0
temp_spectre.186 94000000.5 12 2 4 0
temp_spectre.187 94500000.5 18 0 12 1
temp_spectre.188 95000000.5 33 4 12 8
temp_spectre.189 95500000.5 29 7 4 7
temp_spectre.190 96000000.5 26 7 2 2
temp_spectre.191 96500000.5 25 5 3 3
temp_spectre.192 97000000.5 41 4 6 6
temp_spectre.193 97500000.5 47 5 5 9
temp_spectre.194 98000000.5 25 3 3 4
temp_spectre.195 98500000.5 26 4 6 5
temp_spectre.196 99000000.5 98 20 18 18
temp_spectre.197 99500000.5 82 17 14 13
temp_spectre.198 100500000.5 13 1 1 0
temp_spectre.199 101000000.5 64 5 8 33
temp_spectre.200 101500000.5 54 4 7 33
temp_spectre.201 102000000.5 8 0 1 1
temp_spectre.202 102500000.5 10 2 1 1
temp_spectre.203 103000000.5 8 2 2 0
temp_spectre.204 103500000.5 73 15 22 4
temp_spectre.205 104000000.5 80 18 21 5
temp_spectre.206 104500000.5 38 7 6 7
temp_spectre.207 105000000.5 36 5 7 6
temp_spectre.208 105500000.5 18 1 4 6
temp_spectre.209 106000000.5 47 8 9 13
temp_spectre.210 106500000.5 40 8 9 7
temp_spectre.211 107000000.5 35 8 6 7
temp_spectre.212 107500000.5 39 9 5 7
temp_spectre.213 108000000.5 7 1 1 0
temp_spectre.214 108500000.5 17 1 3 0
temp_spectre.215 109000000.5 34 4 7 2
temp_spectre.216 109500000.5 20 3 6 2
temp_spectre.217 110000000.5 14 0 5 0
temp_spectre.218 110500000.5 21 2 8 2
temp_spectre.219 111000000.5 88 12 15 24
temp_spectre.220 111500000.5 154 18 24 36
temp_spectre.221 112000000.5 108 14 15 14
temp_spectre.222 112500000.5 61 7 5 0
temp_spectre.223 113000000.5 55 2 12 0
temp_spectre.224 113500000.5 55 3 10 1
temp_spectre.225 114000000.5 46 6 3 1
temp_spectre.226 114500000.5 38 5 2 0
temp_spectre.227 115000000.5 50 1 15 0
temp_spectre.228 115500000.5 52 0 18 3
temp_spectre.229 116000000.5 48 0 5 6
temp_spectre.230 116500000.5 49 6 5 4
temp_spectre.231 117000000.5 53 11 6 1
temp_spectre.232 117500000.5 97 29 7 4
temp_spectre.233 118000000.5 149 60 10 6
temp_spectre.234 118500000.5 110 36 5 12
temp_spectre.235 119000000.5 53 0 7 10
temp_spectre.236 119500000.5 49 0 11 0
temp_spectre.237 120000000.5 56 4 8 1
temp_spectre.238 120500000.5 70 16 6 4
temp_spectre.239 121000000.5 69 20 4 4
temp_spectre.240 121500000.5 65 16 3 1
temp_spectre.241 122000000.5 66 13 1 0
temp_spectre.242 122500000.5 61 12 0 0
temp_spectre.243 123000000.5 89 19 2 1
temp_spectre.244 123500000.5 131 21 12 3
temp_spectre.245 124000000.5 103 16 13 4
temp_spectre.246 124500000.5 86 12 26 4
temp_spectre.247 125000000.5 108 10 36 15
temp_spectre.248 125500000.5 82 8 19 14
temp_spectre.249 126000000.5 71 8 10 4
temp_spectre.250 126500000.5 72 11 4 5
temp_spectre.251 127000000.5 60 18 1 6
temp_spectre.252 127500000.5 70 20 5 4
temp_spectre.253 128000000.5 66 9 10 0
temp_spectre.254 128500000.5 61 4 9 3
temp_spectre.255 129000000.5 55 9 7 3
temp_spectre.256 129500000.5 39 9 5 3
temp_spectre.257 130000000.5 54 9 13 4
temp_spectre.258 130500000.5 64 13 15 1
temp_spectre.259 131000000.5 71 9 3 0
temp_spectre.260 131500000.5 79 7 0 0
temp_spectre.261 132000000.5 92 12 7 2
temp_spectre.262 132500000.5 75 11 8 6
temp_spectre.263 133000000.5 45 11 6 7
temp_spectre.264 133500000.5 38 9 5 9
temp_spectre.265 134000000.5 66 5 15 11
temp_spectre.266 134500000.5 108 17 29 8
temp_spectre.267 135000000.5 100 23 17 5
temp_spectre.268 135500000.5 158 36 25 22
temp_spectre.269 136000000.5 148 35 29 29
temp_spectre.270 136500000.5 67 15 12 13
temp_spectre.271 137000000.5 67 12 15 8
temp_spectre.272 137500000.5 86 6 11 26
temp_spectre.273 138000000.5 71 2 5 25
temp_spectre.274 138500000.5 51 7 5 8
temp_spectre.275 139000000.5 54 7 2 9
temp_spectre.276 139500000.5 43 5 10 4
temp_spectre.277 140000000.5 39 5 18 0
temp_spectre.278 140500000.5 39 4 12 1
temp_spectre.279 141000000.5 77 12 8 24
temp_spectre.280 141500000.5 92 11 8 24
temp_spectre.281 142000000.5 62 4 3 2
temp_spectre.282 142500000.5 120 22 11 8
temp_spectre.283 143000000.5 133 26 12 9
temp_spectre.284 143500000.5 75 6 4 3
temp_spectre.285 144000000.5 60 6 11 4
temp_spectre.286 144500000.5 47 14 13 4
temp_spectre.287 145000000.5 72 11 12 9
temp_spectre.288 145500000.5 78 11 10 16
temp_spectre.289 146000000.5 67 12 4 9
temp_spectre.290 146500000.5 64 7 3 1
temp_spectre.291 147000000.5 45 3 8 0
temp_spectre.292 147500000.5 69 1 15 1
temp_spectre.293 148000000.5 89 3 14 5
temp_spectre.294 148500000.5 70 7 6 5
temp_spectre.295 149000000.5 61 7 6 1
temp_spectre.296 149500000.5 66 4 10 2
temp_spectre.297 150000000.5 58 9 8 2
temp_spectre.298 150500000.5 66 19 9 1
temp_spectre.299 151000000.5 78 17 13 4
temp_spectre.300 151500000.5 76 13 14 4
temp_spectre.301 152000000.5 73 13 13 4
temp_spectre.302 152500000.5 84 8 16 7
temp_spectre.303 153000000.5 101 15 17 6
temp_spectre.304 153500000.5 72 18 9 3
temp_spectre.305 154000000.5 55 10 2 7
temp_spectre.306 154500000.5 56 6 3 6
temp_spectre.307 155000000.5 75 13 14 1
temp_spectre.308 155500000.5 97 34 12 8
temp_spectre.309 156000000.5 71 27 3 10
temp_spectre.310 156500000.5 83 9 8 5
temp_spectre.311 157000000.5 123 31 15 6
temp_spectre.312 157500000.5 129 50 16 11
temp_spectre.313 158000000.5 108 44 14 7
temp_spectre.314 158500000.5 82 28 15 4
temp_spectre.315 159000000.5 80 28 10 8
temp_spectre.316 159500000.5 101 42 15 4
temp_spectre.317 160000000.5 106 36 24 3
temp_spectre.318 160500000.5 100 26 19 4
temp_spectre.319 161000000.5 112 20 18 5
temp_spectre.320 161500000.5 98 13 10 12
temp_spectre.321 162000000.5 66 11 10 11
temp_spectre.322 162500000.5 69 17 15 5
temp_spectre.323 163000000.5 91 19 22 9
temp_spectre.324 163500000.5 102 21 23 13
temp_spectre.325 164000000.5 98 26 10 6
temp_spectre.326 164500000.5 118 38 17 6
temp_spectre.327 165000000.5 96 33 18 10
temp_spectre.328 165500000.5 76 17 22 9
temp_spectre.329 166000000.5 127 25 24 15
temp_spectre.330 166500000.5 121 28 11 12
temp_spectre.331 167000000.5 105 23 11 5
temp_spectre.332 167500000.5 98 17 11 3
temp_spectre.333 168000000.5 84 18 6 5
temp_spectre.334 168500000.5 76 20 6 5
temp_spectre.335 169000000.5 106 31 12 6
temp_spectre.336 169500000.5 107 36 9 6
temp_spectre.337 170000000.5 40 18 1 0
temp_spectre.338 170500000.5 66 16 3 6
temp_spectre.339 171000000.5 104 29 7 7
temp_spectre.340 171500000.5 51 22 4 1
temp_spectre.341 172000000.5 6 4 0 0
