per_plot V2 V3 V4 V5 V6 V7 V8 V9
temp_spectre.58 29500000.5 79 28 3 3 4 3 8 0
temp_spectre.59 30000000.5 79 19 6 4 1 3 6 2
temp_spectre.60 30500000.5 93 11 15 7 2 1 8 3
temp_spectre.61 31000000.5 76 8 17 6 2 2 10 1
temp_spectre.62 31500000.5 58 11 9 3 6 4 7 1
temp_spectre.63 32000000.5 58 12 5 5 13 2 5 1
temp_spectre.64 32500000.5 66 12 7 7 11 1 2 4
temp_spectre.65 33000000.5 61 15 8 4 6 3 1 6
temp_spectre.66 33500000.5 56 11 5 3 10 3 1 2
temp_spectre.67 34000000.5 55 8 2 5 12 8 0 0
temp_spectre.68 34500000.5 47 8 0 6 5 12 5 0
temp_spectre.69 35000000.5 50 13 2 5 0 5 6 1
temp_spectre.70 35500000.5 60 25 7 6 0 2 3 1
temp_spectre.71 36000000.5 67 24 8 4 3 3 4 1
temp_spectre.72 36500000.5 64 12 5 2 5 5 4 2
temp_spectre.73 37000000.5 76 2 3 4 6 6 3 13
temp_spectre.74 37500000.5 86 6 2 5 8 2 5 13
temp_spectre.75 38000000.5 73 11 6 12 9 1 4 1
temp_spectre.76 38500000.5 65 9 9 11 6 4 4 0
temp_spectre.77 39000000.5 61 14 9 4 3 6 4 0
temp_spectre.78 39500000.5 83 15 14 2 8 9 4 3
temp_spectre.79 40000000.5 100 11 12 0 12 10 4 3
temp_spectre.80 40500000.5 90 15 7 6 7 6 1 1
temp_spectre.81 41000000.5 62 12 10 10 1 2 2 3
temp_spectre.82 41500000.5 50 7 9 9 3 0 6 3
temp_spectre.83 42000000.5 61 10 4 7 6 6 8 4
temp_spectre.84 42500000.5 49 7 3 6 3 9 4 3
temp_spectre.85 43000000.5 42 8 2 6 0 3 5 0
temp_spectre.86 43500000.5 81 22 3 2 3 1 5 1
temp_spectre.87 44000000.5 84 20 8 4 5 5 1 1
temp_spectre.88 44500000.5 55 8 8 6 2 6 1 2
temp_spectre.89 45000000.5 57 6 4 3 1 5 1 3
temp_spectre.90 45500000.5 68 12 7 1 4 6 3 4
temp_spectre.91 46000000.5 79 11 10 1 4 4 5 3
temp_spectre.92 46500000.5 59 5 8 4 2 1 6 1
temp_spectre.93 47000000.5 49 3 8 3 2 0 8 2
temp_spectre.94 47500000.5 43 1 5 0 3 0 5 1
temp_spectre.95 48000000.5 32 3 3 0 4 0 3 0
temp_spectre.96 48500000.5 50 5 5 1 2 3 4 0
temp_spectre.97 49000000.5 69 4 5 2 6 6 6 2
temp_spectre.98 49500000.5 62 7 7 2 8 3 4 2
temp_spectre.99 50000000.5 32 7 7 1 3 0 0 0
temp_spectre.100 50500000.5 42 7 5 3 1 3 5 0
temp_spectre.101 51000000.5 64 11 3 4 0 3 6 0
temp_spectre.102 51500000.5 68 11 6 4 2 1 4 0
temp_spectre.103 52000000.5 71 10 8 3 8 2 3 0
temp_spectre.104 52500000.5 52 9 5 1 6 3 1 3
temp_spectre.105 53000000.5 49 6 3 3 5 5 4 4
temp_spectre.106 53500000.5 71 5 6 6 5 10 4 4
temp_spectre.107 54000000.5 90 10 11 4 3 9 2 6
temp_spectre.108 54500000.5 96 13 7 0 4 5 4 4
temp_spectre.109 55000000.5 93 13 4 3 3 7 8 2
temp_spectre.110 55500000.5 71 7 3 14 3 6 6 1
temp_spectre.111 56000000.5 67 21 3 14 2 3 4 0
temp_spectre.112 56500000.5 75 31 3 5 4 1 5 0
temp_spectre.113 57000000.5 47 12 2 4 3 3 3 0
temp_spectre.114 57500000.5 32 6 2 4 1 4 1 1
temp_spectre.115 58000000.5 47 11 7 4 1 4 0 5
temp_spectre.116 58500000.5 111 26 15 8 6 8 7 13
temp_spectre.117 59000000.5 110 26 10 13 6 10 8 10
temp_spectre.118 59500000.5 60 8 3 10 0 6 2 2
temp_spectre.119 60000000.5 60 6 9 3 3 2 3 1
temp_spectre.120 60500000.5 64 5 9 0 8 6 4 0
temp_spectre.121 61000000.5 57 7 3 1 8 5 3 0
temp_spectre.122 61500000.5 49 11 1 6 6 0 1 0
temp_spectre.123 62000000.5 62 9 6 8 4 0 9 0
temp_spectre.124 62500000.5 68 13 11 8 7 1 10 0
temp_spectre.125 63000000.5 61 14 9 10 7 2 1 0
temp_spectre.126 63500000.5 59 10 7 11 1 1 1 0
temp_spectre.127 64000000.5 64 10 9 7 2 7 2 0
temp_spectre.128 64500000.5 51 7 9 1 3 10 1 0
temp_spectre.129 65000000.5 42 3 9 0 2 6 2 0
temp_spectre.130 65500000.5 51 1 11 1 1 3 2 0
temp_spectre.131 66000000.5 37 1 7 1 0 0 0 0
temp_spectre.132 66500000.5 55 12 7 8 2 6 1 2
temp_spectre.133 67000000.5 64 13 8 11 4 8 2 2
temp_spectre.134 67500000.5 40 5 5 4 3 4 4 4
temp_spectre.135 68000000.5 70 11 3 9 4 10 10 6
temp_spectre.136 68500000.5 71 10 2 11 9 8 8 2
temp_spectre.137 69000000.5 46 5 2 3 8 1 1 2
temp_spectre.138 69500000.5 43 5 3 0 3 3 2 3
temp_spectre.139 70000000.5 49 4 5 6 1 5 2 1
temp_spectre.140 70500000.5 63 8 4 12 2 3 0 0
temp_spectre.141 71000000.5 55 7 6 9 4 0 0 0
temp_spectre.142 71500000.5 92 10 13 9 9 3 1 13
temp_spectre.143 72000000.5 137 42 11 8 10 4 1 13
temp_spectre.144 72500000.5 88 35 5 2 4 5 1 0
temp_spectre.145 73000000.5 25 3 3 0 1 4 1 0
temp_spectre.146 73500000.5 30 1 8 1 4 0 0 1
temp_spectre.147 74000000.5 50 4 8 4 6 3 1 1
temp_spectre.148 74500000.5 57 11 6 4 3 3 7 1
temp_spectre.149 75000000.5 36 7 5 1 1 0 8 1
temp_spectre.150 75500000.5 15 0 0 1 0 6 3 0
temp_spectre.151 76000000.5 29 2 1 3 2 7 1 1
temp_spectre.152 76500000.5 27 2 9 2 3 1 0 1
temp_spectre.153 77000000.5 18 0 9 1 1 0 3 0
temp_spectre.154 77500000.5 30 7 1 4 0 2 5 1
temp_spectre.155 78000000.5 59 17 3 4 1 2 3 2
temp_spectre.156 78500000.5 83 17 10 7 3 1 2 2
temp_spectre.157 79000000.5 52 7 7 8 4 1 1 1
temp_spectre.158 79500000.5 7 0 0 2 2 0 0 0
temp_spectre.159 80000000.5 51 12 8 2 2 2 1 3
temp_spectre.160 80500000.5 71 15 13 3 4 3 6 3
temp_spectre.161 81000000.5 29 3 5 2 3 2 5 0
temp_spectre.162 81500000.5 18 2 3 1 2 1 0 1
temp_spectre.163 82000000.5 42 12 6 2 2 4 4 4
temp_spectre.164 82500000.5 31 10 3 2 1 4 4 3
temp_spectre.165 83000000.5 26 1 0 3 2 0 5 9
temp_spectre.166 83500000.5 30 2 0 3 2 0 5 10
temp_spectre.167 84000000.5 37 9 2 4 2 1 0 3
temp_spectre.168 84500000.5 44 9 2 7 3 1 0 6
temp_spectre.169 85000000.5 33 6 5 4 2 1 0 7
temp_spectre.170 85500000.5 27 5 8 1 1 1 0 4
temp_spectre.171 86000000.5 7 0 5 0 0 0 0 1
temp_spectre.172 86500000.5 4 0 3 0 0 0 0 0
temp_spectre.173 87000000.5 2 0 1 0 0 0 0 0
temp_spectre.174 88000000.5 25 10 5 3 0 0 0 0
temp_spectre.175 88500000.5 48 13 7 3 4 0 1 2
temp_spectre.176 89000000.5 37 4 4 2 4 1 1 4
temp_spectre.177 89500000.5 16 1 3 2 0 2 0 2
temp_spectre.178 90000000.5 7 2 1 0 0 1 0 2
temp_spectre.179 90500000.5 58 10 10 2 4 1 3 13
temp_spectre.180 91000000.5 247 76 32 21 10 2 6 24
temp_spectre.181 91500000.5 232 78 27 20 7 4 5 14
temp_spectre.182 92000000.5 90 26 13 6 1 4 4 4
temp_spectre.183 92500000.5 58 18 9 5 1 1 2 3
temp_spectre.184 93000000.5 12 3 2 0 1 0 1 0
temp_spectre.185 93500000.5 12 1 1 0 0 0 1 0
temp_spectre.186 94000000.5 10 0 2 0 0 0 0 0
temp_spectre.187 94500000.5 6 0 3 0 0 0 0 0
temp_spectre.188 95000000.5 9 0 1 0 1 0 0 0
temp_spectre.189 95500000.5 22 3 1 1 3 2 1 0
temp_spectre.190 96000000.5 38 4 2 1 5 2 1 0
temp_spectre.191 96500000.5 248 52 30 37 14 13 6 15
temp_spectre.192 97000000.5 233 51 30 39 12 13 6 16
temp_spectre.193 97500000.5 11 1 1 2 1 0 0 1
temp_spectre.194 98000000.5 9 1 2 0 1 0 1 0
temp_spectre.195 98500000.5 11 0 3 0 2 0 1 0
temp_spectre.196 99000000.5 27 2 7 0 4 0 0 0
temp_spectre.197 99500000.5 49 5 13 3 6 2 0 2
temp_spectre.198 100000000.5 38 6 10 5 3 3 1 2
temp_spectre.199 100500000.5 29 4 7 2 2 7 1 0
temp_spectre.200 101000000.5 44 4 4 4 7 13 1 0
temp_spectre.201 101500000.5 39 5 4 4 6 7 3 0
temp_spectre.202 102000000.5 36 6 6 2 1 0 6 1
temp_spectre.203 102500000.5 44 7 7 6 3 0 6 1
temp_spectre.204 103000000.5 25 4 5 4 4 0 2 1
temp_spectre.205 103500000.5 12 3 0 4 1 0 0 1
temp_spectre.206 104000000.5 29 9 0 6 3 2 0 0
temp_spectre.207 104500000.5 46 11 0 3 5 2 0 0
temp_spectre.208 105000000.5 46 9 0 2 2 5 2 0
temp_spectre.209 105500000.5 43 10 1 1 3 6 4 1
temp_spectre.210 106000000.5 55 16 4 9 3 1 2 2
temp_spectre.211 106500000.5 78 21 8 11 1 4 0 1
temp_spectre.212 107000000.5 72 14 6 3 2 5 1 0
temp_spectre.213 107500000.5 123 22 4 6 5 4 21 25
temp_spectre.214 108000000.5 149 25 6 6 8 10 29 29
temp_spectre.215 108500000.5 104 23 7 5 14 11 14 7
temp_spectre.216 109000000.5 73 17 8 4 14 8 5 3
temp_spectre.217 109500000.5 96 11 6 4 12 5 3 5
temp_spectre.218 110000000.5 120 15 8 6 10 1 17 8
temp_spectre.219 110500000.5 74 9 9 9 2 1 17 3
temp_spectre.220 111000000.5 64 15 12 11 0 1 6 0
temp_spectre.221 111500000.5 79 19 15 7 3 3 5 0
temp_spectre.222 112000000.5 81 15 9 6 4 8 2 9
temp_spectre.223 112500000.5 67 18 6 4 2 7 0 10
temp_spectre.224 113000000.5 53 17 5 3 1 2 1 3
temp_spectre.225 113500000.5 61 18 2 3 3 0 2 2
temp_spectre.226 114000000.5 92 35 4 3 5 2 4 10
temp_spectre.227 114500000.5 90 30 7 6 3 2 3 13
temp_spectre.228 115000000.5 77 24 3 10 2 2 2 3
temp_spectre.229 115500000.5 50 17 0 6 2 2 3 0
temp_spectre.230 116000000.5 28 7 1 0 3 1 1 0
temp_spectre.231 116500000.5 55 18 3 3 3 5 0 0
temp_spectre.232 117000000.5 80 17 10 4 6 8 3 8
temp_spectre.233 117500000.5 82 21 10 2 10 5 5 8
temp_spectre.234 118000000.5 85 27 12 4 5 5 4 1
temp_spectre.235 118500000.5 84 22 15 5 3 4 3 1
temp_spectre.236 119000000.5 81 19 11 6 6 1 4 2
temp_spectre.237 119500000.5 83 15 13 9 8 3 4 2
temp_spectre.238 120000000.5 56 8 12 5 6 2 6 0
temp_spectre.239 120500000.5 64 8 11 4 7 5 5 2
temp_spectre.240 121000000.5 81 13 8 8 9 7 5 6
temp_spectre.241 121500000.5 98 13 6 4 6 18 14 8
temp_spectre.242 122000000.5 94 10 5 3 5 20 20 4
temp_spectre.243 122500000.5 51 7 6 4 2 6 11 0
temp_spectre.244 123000000.5 141 21 11 10 10 19 10 17
temp_spectre.245 123500000.5 163 26 7 10 11 21 17 17
temp_spectre.246 124000000.5 56 14 1 1 1 5 9 0
temp_spectre.247 124500000.5 32 8 3 1 1 1 4 0
temp_spectre.248 125000000.5 25 2 4 2 1 0 3 1
temp_spectre.249 125500000.5 44 6 7 10 5 1 2 1
temp_spectre.250 126000000.5 80 13 11 17 8 5 3 0
temp_spectre.251 126500000.5 83 17 9 11 6 5 6 0
temp_spectre.252 127000000.5 62 20 6 7 3 2 4 0
temp_spectre.253 127500000.5 69 27 15 4 3 1 0 1
temp_spectre.254 128000000.5 83 22 20 2 10 0 2 1
temp_spectre.255 128500000.5 70 7 12 8 9 3 5 3
temp_spectre.256 129000000.5 60 8 5 6 4 5 9 4
temp_spectre.257 129500000.5 55 16 0 2 4 6 7 1
temp_spectre.258 130000000.5 71 14 3 4 4 5 5 0
temp_spectre.259 130500000.5 86 8 7 5 5 1 15 0
temp_spectre.260 131000000.5 103 13 16 6 6 0 13 4
temp_spectre.261 131500000.5 104 21 14 6 7 3 6 4
temp_spectre.262 132000000.5 94 26 10 9 6 8 7 0
temp_spectre.263 132500000.5 91 16 19 11 6 8 7 0
temp_spectre.264 133000000.5 77 7 20 8 6 5 6 0
temp_spectre.265 133500000.5 77 14 11 7 6 6 3 1
temp_spectre.266 134000000.5 83 19 2 9 10 4 2 1
temp_spectre.267 134500000.5 92 19 3 17 6 2 2 1
temp_spectre.268 135000000.5 92 11 7 15 4 4 2 3
temp_spectre.269 135500000.5 88 4 13 6 9 10 6 3
temp_spectre.270 136000000.5 96 12 13 3 8 13 7 1
temp_spectre.271 136500000.5 88 19 7 5 5 11 3 2
temp_spectre.272 137000000.5 90 17 14 7 7 8 6 2
temp_spectre.273 137500000.5 83 15 20 2 5 4 6 0
temp_spectre.274 138000000.5 62 12 16 3 1 8 2 0
temp_spectre.275 138500000.5 69 7 11 7 2 9 5 2
temp_spectre.276 139000000.5 81 8 11 8 4 7 5 2
temp_spectre.277 139500000.5 80 10 10 8 4 6 2 4
temp_spectre.278 140000000.5 93 13 9 18 5 4 6 7
temp_spectre.279 140500000.5 102 16 10 19 10 6 6 6
temp_spectre.280 141000000.5 67 11 7 7 6 5 2 4
temp_spectre.281 141500000.5 49 16 4 4 0 3 3 1
temp_spectre.282 142000000.5 78 15 2 7 7 9 5 0
temp_spectre.283 142500000.5 88 10 6 9 10 9 9 0
temp_spectre.284 143000000.5 72 17 9 4 10 4 8 0
temp_spectre.285 143500000.5 79 21 8 6 9 8 4 1
temp_spectre.286 144000000.5 108 22 9 22 4 14 6 3
temp_spectre.287 144500000.5 110 19 11 20 9 9 10 2
temp_spectre.288 145000000.5 94 18 13 8 9 3 7 4
temp_spectre.289 145500000.5 79 18 12 9 2 3 1 4
temp_spectre.290 146000000.5 71 14 12 9 6 5 1 1
temp_spectre.291 146500000.5 87 16 12 6 6 7 3 1
temp_spectre.292 147000000.5 95 18 7 5 5 5 2 3
temp_spectre.293 147500000.5 76 13 8 7 6 7 2 3
temp_spectre.294 148000000.5 69 15 14 4 2 7 6 0
temp_spectre.295 148500000.5 87 21 10 5 3 3 6 0
temp_spectre.296 149000000.5 83 21 8 6 5 2 9 1
temp_spectre.297 149500000.5 65 22 10 2 6 4 8 2
temp_spectre.298 150000000.5 37 13 6 1 4 3 1 3
temp_spectre.299 150500000.5 7 1 2 0 1 0 0 2
