per_plot V2 V3 V4 V5 V6 V7 V8 V9
temp_spectre.58 29500000.5 93 13 11 4 4 1 9 0
temp_spectre.59 30000000.5 62 15 11 2 2 2 3 0
temp_spectre.60 30500000.5 54 11 8 9 0 4 2 0
temp_spectre.61 31000000.5 80 8 9 8 8 16 7 1
temp_spectre.62 31500000.5 74 6 7 5 12 16 5 1
temp_spectre.63 32000000.5 103 22 14 11 12 7 2 0
temp_spectre.64 32500000.5 118 25 16 8 9 5 3 1
temp_spectre.65 33000000.5 59 12 5 2 4 1 2 1
temp_spectre.66 33500000.5 49 11 3 7 5 2 3 1
temp_spectre.67 34000000.5 50 3 6 8 3 5 6 1
temp_spectre.68 34500000.5 63 6 8 8 7 6 5 3
temp_spectre.69 35000000.5 71 10 6 6 7 7 3 4
temp_spectre.70 35500000.5 74 17 4 1 2 7 4 1
temp_spectre.71 36000000.5 92 24 8 6 3 6 3 2
temp_spectre.72 36500000.5 87 20 10 9 9 4 3 2
temp_spectre.73 37000000.5 67 14 5 4 12 3 2 0
temp_spectre.74 37500000.5 51 8 2 2 5 4 3 1
temp_spectre.75 38000000.5 54 6 5 7 3 7 3 1
temp_spectre.76 38500000.5 63 5 9 7 5 6 4 1
temp_spectre.77 39000000.5 55 4 6 3 6 2 5 1
temp_spectre.78 39500000.5 30 5 1 2 5 3 1 1
temp_spectre.79 40000000.5 217 17 4 10 21 16 52 69
temp_spectre.80 40500000.5 286 20 29 14 40 15 52 71
temp_spectre.81 41000000.5 116 13 31 6 25 2 2 3
temp_spectre.82 41500000.5 96 13 17 7 7 8 4 1
temp_spectre.83 42000000.5 112 10 17 11 2 11 7 1
temp_spectre.84 42500000.5 74 4 6 7 0 6 8 1
temp_spectre.85 43000000.5 61 2 4 3 0 14 5 2
temp_spectre.86 43500000.5 71 7 9 6 1 12 3 1
temp_spectre.87 44000000.5 59 8 6 6 8 1 2 0
temp_spectre.88 44500000.5 50 10 4 1 14 2 1 0
temp_spectre.89 45000000.5 52 9 7 6 11 2 4 1
temp_spectre.90 45500000.5 62 13 7 9 5 1 6 3
temp_spectre.91 46000000.5 63 11 6 4 8 2 11 2
temp_spectre.92 46500000.5 60 4 8 4 7 4 11 3
temp_spectre.93 47000000.5 69 6 10 5 4 3 3 18
temp_spectre.94 47500000.5 91 15 15 6 5 6 7 15
temp_spectre.95 48000000.5 80 19 14 5 5 11 6 0
temp_spectre.96 48500000.5 53 12 7 2 5 10 1 0
temp_spectre.97 49000000.5 70 8 19 6 4 5 7 1
temp_spectre.98 49500000.5 61 4 18 7 3 2 6 1
temp_spectre.99 50000000.5 35 2 10 3 0 4 0 0
temp_spectre.100 50500000.5 47 8 12 1 1 3 2 1
temp_spectre.101 51000000.5 57 14 4 3 5 4 2 4
temp_spectre.102 51500000.5 49 7 5 5 7 4 2 3
temp_spectre.103 52000000.5 36 6 6 4 3 0 3 0
temp_spectre.104 52500000.5 67 18 10 5 1 3 6 3
temp_spectre.105 53000000.5 82 19 10 8 6 5 5 4
temp_spectre.106 53500000.5 65 12 2 12 7 5 0 1
temp_spectre.107 54000000.5 71 11 3 7 5 5 0 0
temp_spectre.108 54500000.5 75 14 7 5 5 4 3 1
temp_spectre.109 55000000.5 77 18 10 10 6 2 3 2
temp_spectre.110 55500000.5 71 12 8 7 5 3 2 4
temp_spectre.111 56000000.5 87 11 3 8 4 11 5 3
temp_spectre.112 56500000.5 93 10 5 15 5 11 8 0
temp_spectre.113 57000000.5 72 6 10 12 6 3 7 1
temp_spectre.114 57500000.5 68 6 16 5 8 1 2 1
temp_spectre.115 58000000.5 57 5 12 2 4 3 0 0
temp_spectre.116 58500000.5 62 4 5 11 0 2 4 4
temp_spectre.117 59000000.5 74 11 11 14 1 2 5 5
temp_spectre.118 59500000.5 65 13 12 4 3 6 3 1
temp_spectre.119 60000000.5 43 6 5 1 3 5 2 0
temp_spectre.120 60500000.5 41 7 7 1 3 2 0 0
temp_spectre.121 61000000.5 72 13 17 6 4 2 5 1
temp_spectre.122 61500000.5 73 22 13 7 4 4 5 3
temp_spectre.123 62000000.5 60 21 4 3 2 10 1 4
temp_spectre.124 62500000.5 44 11 3 1 4 7 1 2
temp_spectre.125 63000000.5 57 7 9 4 4 2 6 3
temp_spectre.126 63500000.5 63 6 13 4 1 2 6 3
temp_spectre.127 64000000.5 27 2 6 0 3 0 0 0
temp_spectre.128 64500000.5 41 0 0 1 4 0 5 1
temp_spectre.129 65000000.5 49 4 0 2 2 2 6 1
temp_spectre.130 65500000.5 35 7 1 4 2 3 2 0
temp_spectre.131 66000000.5 32 4 4 5 2 1 1 0
temp_spectre.132 66500000.5 24 1 8 2 0 0 1 0
temp_spectre.133 67000000.5 52 9 15 2 0 3 2 0
temp_spectre.134 67500000.5 58 10 13 3 0 3 6 0
temp_spectre.135 68000000.5 30 2 5 2 0 1 8 0
temp_spectre.136 68500000.5 23 3 4 1 1 1 3 0
temp_spectre.137 69000000.5 45 6 4 3 3 0 1 2
temp_spectre.138 69500000.5 65 7 4 6 3 1 4 4
temp_spectre.139 70000000.5 69 9 3 21 4 1 3 2
temp_spectre.140 70500000.5 70 16 3 18 5 1 1 3
temp_spectre.141 71000000.5 65 21 2 3 4 2 1 4
temp_spectre.142 71500000.5 65 19 3 7 2 6 1 2
temp_spectre.143 72000000.5 73 20 7 4 0 6 4 1
temp_spectre.144 72500000.5 61 15 4 1 2 3 5 0
temp_spectre.145 73000000.5 48 5 5 2 10 3 5 0
temp_spectre.146 73500000.5 60 6 5 3 9 1 5 0
temp_spectre.147 74000000.5 44 5 4 3 2 0 3 1
temp_spectre.148 74500000.5 40 1 7 1 5 2 1 1
temp_spectre.149 75000000.5 75 9 8 0 6 3 0 0
temp_spectre.150 75500000.5 74 14 5 3 2 1 0 0
temp_spectre.151 76000000.5 44 11 1 3 0 0 0 0
temp_spectre.152 76500000.5 28 8 1 5 0 0 0 0
temp_spectre.153 77000000.5 65 14 8 6 1 0 0 0
temp_spectre.154 77500000.5 73 13 11 1 1 0 1 3
temp_spectre.155 78000000.5 34 6 3 3 1 0 1 3
temp_spectre.156 78500000.5 32 10 2 5 1 0 3 0
temp_spectre.157 79000000.5 16 5 2 2 0 0 3 0
temp_spectre.158 80000000.5 8 2 1 0 1 0 0 0
temp_spectre.159 80500000.5 23 7 1 0 2 5 1 0
temp_spectre.160 81000000.5 33 6 0 0 1 7 2 0
temp_spectre.161 81500000.5 35 7 0 0 1 3 1 0
temp_spectre.162 82000000.5 30 11 0 0 1 1 0 1
temp_spectre.163 82500000.5 39 9 1 3 1 0 1 11
temp_spectre.164 83000000.5 203 37 24 32 17 11 5 25
temp_spectre.165 83500000.5 198 38 23 31 18 11 5 16
temp_spectre.166 84000000.5 33 8 0 2 2 3 4 1
temp_spectre.167 84500000.5 25 5 1 0 0 7 8 0
temp_spectre.168 85000000.5 20 2 1 3 0 4 8 0
temp_spectre.169 85500000.5 14 1 0 4 0 0 5 0
temp_spectre.170 86000000.5 10 1 1 3 0 0 2 0
temp_spectre.171 86500000.5 70 8 9 7 4 8 7 5
temp_spectre.172 87000000.5 74 9 8 6 5 10 7 5
temp_spectre.173 87500000.5 36 6 6 2 1 7 2 1
temp_spectre.174 88000000.5 57 8 13 1 1 8 2 1
temp_spectre.175 88500000.5 57 3 11 0 5 11 1 3
temp_spectre.176 89000000.5 104 3 10 2 6 14 31 16
temp_spectre.177 89500000.5 79 3 7 2 2 6 31 13
temp_spectre.178 90000000.5 47 8 6 1 2 2 6 0
temp_spectre.179 90500000.5 84 22 10 3 2 2 6 1
temp_spectre.180 91000000.5 49 15 5 2 0 0 1 1
temp_spectre.181 91500000.5 84 12 4 4 5 2 7 4
temp_spectre.182 92000000.5 111 13 4 6 8 5 8 13
temp_spectre.183 92500000.5 46 2 0 2 3 3 4 9
temp_spectre.184 93000000.5 16 1 0 0 0 0 3 0
temp_spectre.185 93500000.5 13 3 0 0 0 0 1 0
temp_spectre.186 94000000.5 12 2 0 0 0 0 3 0
temp_spectre.187 94500000.5 18 0 3 0 4 0 5 0
temp_spectre.188 95000000.5 33 0 3 0 6 6 5 0
temp_spectre.189 95500000.5 29 0 0 0 2 6 3 0
temp_spectre.190 96000000.5 26 3 2 0 1 0 2 1
temp_spectre.191 96500000.5 25 3 2 1 2 0 1 2
temp_spectre.192 97000000.5 41 2 1 4 1 0 1 7
temp_spectre.193 97500000.5 47 3 3 3 1 3 2 6
temp_spectre.194 98000000.5 25 4 2 0 1 3 2 0
temp_spectre.195 98500000.5 26 5 3 0 0 1 4 3
temp_spectre.196 99000000.5 98 15 23 9 3 4 10 12
temp_spectre.197 99500000.5 82 13 20 9 3 3 7 9
temp_spectre.198 100500000.5 13 5 3 2 0 0 0 0
temp_spectre.199 101000000.5 64 7 7 18 4 11 2 5
temp_spectre.200 101500000.5 54 3 4 16 4 11 2 5
temp_spectre.201 102000000.5 8 1 1 0 0 0 2 0
temp_spectre.202 102500000.5 10 0 1 0 0 0 2 0
temp_spectre.203 103000000.5 8 0 0 0 0 0 0 2
temp_spectre.204 103500000.5 73 11 11 15 3 9 0 5
temp_spectre.205 104000000.5 80 11 13 18 4 9 1 3
temp_spectre.206 104500000.5 38 1 4 3 2 0 3 6
temp_spectre.207 105000000.5 36 3 2 0 1 0 2 8
temp_spectre.208 105500000.5 18 3 2 1 1 2 0 5
temp_spectre.209 106000000.5 47 4 2 3 3 7 1 14
temp_spectre.210 106500000.5 40 3 0 2 2 5 1 12
temp_spectre.211 107000000.5 35 6 1 0 2 3 0 7
temp_spectre.212 107500000.5 39 7 1 0 2 3 0 7
temp_spectre.213 108000000.5 7 1 0 0 0 0 0 1
temp_spectre.214 108500000.5 17 2 1 0 1 0 1 1
temp_spectre.215 109000000.5 34 5 1 0 1 0 1 5
temp_spectre.216 109500000.5 20 3 0 0 0 1 0 5
temp_spectre.217 110000000.5 14 2 0 0 0 1 1 1
temp_spectre.218 110500000.5 21 4 0 0 0 1 1 2
temp_spectre.219 111000000.5 88 16 7 9 1 7 5 15
temp_spectre.220 111500000.5 154 21 14 17 4 14 13 20
temp_spectre.221 112000000.5 108 13 9 10 6 8 17 7
temp_spectre.222 112500000.5 61 12 5 7 7 0 9 0
temp_spectre.223 113000000.5 55 8 3 9 12 0 0 0
temp_spectre.224 113500000.5 55 3 0 4 10 1 2 1
temp_spectre.225 114000000.5 46 2 0 0 3 1 2 3
temp_spectre.226 114500000.5 38 2 1 1 6 0 0 2
temp_spectre.227 115000000.5 50 5 1 1 6 1 12 0
temp_spectre.228 115500000.5 52 8 2 3 2 1 13 0
temp_spectre.229 116000000.5 48 6 12 4 1 0 1 0
temp_spectre.230 116500000.5 49 6 13 3 0 1 1 1
temp_spectre.231 117000000.5 53 8 7 5 0 1 3 2
temp_spectre.232 117500000.5 97 14 20 12 4 10 6 1
temp_spectre.233 118000000.5 149 34 39 13 7 14 7 0
temp_spectre.234 118500000.5 110 26 38 6 4 6 3 0
temp_spectre.235 119000000.5 53 11 17 2 1 2 0 1
temp_spectre.236 119500000.5 49 9 5 3 0 0 2 1
temp_spectre.237 120000000.5 56 4 3 5 3 3 2 1
temp_spectre.238 120500000.5 70 6 9 4 7 6 1 2
temp_spectre.239 121000000.5 69 4 10 7 8 3 1 1
temp_spectre.240 121500000.5 65 9 5 10 6 3 1 0
temp_spectre.241 122000000.5 66 13 4 7 3 3 3 1
temp_spectre.242 122500000.5 61 12 3 3 2 2 2 1
temp_spectre.243 123000000.5 89 26 4 5 13 5 2 0
temp_spectre.244 123500000.5 131 29 12 12 20 7 2 3
temp_spectre.245 124000000.5 103 16 16 11 8 8 2 5
temp_spectre.246 124500000.5 86 14 12 13 10 13 2 2
temp_spectre.247 125000000.5 108 27 10 12 11 17 3 7
temp_spectre.248 125500000.5 82 27 3 3 2 13 5 7
temp_spectre.249 126000000.5 71 10 1 2 4 8 3 0
temp_spectre.250 126500000.5 72 7 2 4 5 3 1 0
temp_spectre.251 127000000.5 60 8 2 6 4 1 4 1
temp_spectre.252 127500000.5 70 12 5 5 3 4 4 1
temp_spectre.253 128000000.5 66 10 9 2 3 3 2 0
temp_spectre.254 128500000.5 61 18 7 1 2 1 4 0
temp_spectre.255 129000000.5 55 24 2 2 1 1 4 1
temp_spectre.256 129500000.5 39 9 1 3 3 0 4 2
temp_spectre.257 130000000.5 54 2 7 7 5 2 2 3
temp_spectre.258 130500000.5 64 9 7 7 4 7 0 4
temp_spectre.259 131000000.5 71 14 4 6 5 9 3 6
temp_spectre.260 131500000.5 79 11 7 9 11 7 3 4
temp_spectre.261 132000000.5 92 27 13 8 11 5 0 0
temp_spectre.262 132500000.5 75 23 12 6 7 2 8 1
temp_spectre.263 133000000.5 45 7 7 7 6 1 10 1
temp_spectre.264 133500000.5 38 6 5 10 3 3 4 0
temp_spectre.265 134000000.5 66 14 1 13 2 9 5 3
temp_spectre.266 134500000.5 108 14 5 9 3 15 12 3
temp_spectre.267 135000000.5 100 1 20 10 4 13 10 2
temp_spectre.268 135500000.5 158 18 28 15 7 18 12 8
temp_spectre.269 136000000.5 148 24 15 9 12 17 12 11
temp_spectre.270 136500000.5 67 12 6 4 15 6 2 5
temp_spectre.271 137000000.5 67 8 10 7 7 6 1 0
temp_spectre.272 137500000.5 86 30 11 6 4 5 3 1
temp_spectre.273 138000000.5 71 31 6 3 4 5 4 1
temp_spectre.274 138500000.5 51 13 5 4 0 5 2 6
temp_spectre.275 139000000.5 54 14 5 2 1 1 1 10
temp_spectre.276 139500000.5 43 5 6 9 2 0 0 5
temp_spectre.277 140000000.5 39 4 6 9 3 7 2 1
temp_spectre.278 140500000.5 39 9 4 2 3 9 3 0
temp_spectre.279 141000000.5 77 15 16 9 6 9 7 2
temp_spectre.280 141500000.5 92 17 15 7 8 7 7 4
temp_spectre.281 142000000.5 62 11 4 9 3 0 2 3
temp_spectre.282 142500000.5 120 25 12 24 2 3 5 5
temp_spectre.283 143000000.5 133 30 14 16 3 4 4 5
temp_spectre.284 143500000.5 75 15 7 6 3 5 4 7
temp_spectre.285 144000000.5 60 14 6 8 2 5 6 8
temp_spectre.286 144500000.5 47 12 3 7 2 4 3 2
temp_spectre.287 145000000.5 72 8 7 5 12 8 3 3
temp_spectre.288 145500000.5 78 10 15 2 11 5 6 3
temp_spectre.289 146000000.5 67 17 10 3 4 1 4 1
temp_spectre.290 146500000.5 64 18 6 3 4 4 1 2
temp_spectre.291 147000000.5 45 10 9 1 2 5 2 1
temp_spectre.292 147500000.5 69 22 14 2 3 3 8 3
temp_spectre.293 148000000.5 89 29 11 11 4 3 8 3
temp_spectre.294 148500000.5 70 17 3 14 2 3 1 0
temp_spectre.295 149000000.5 61 11 2 6 1 7 1 0
temp_spectre.296 149500000.5 66 16 5 5 2 9 2 0
temp_spectre.297 150000000.5 58 18 7 7 3 4 1 1
temp_spectre.298 150500000.5 66 15 5 12 6 4 4 1
temp_spectre.299 151000000.5 78 19 12 13 5 8 5 0
temp_spectre.300 151500000.5 76 23 13 9 4 7 1 3
temp_spectre.301 152000000.5 73 23 8 8 3 2 3 4
temp_spectre.302 152500000.5 84 14 11 8 3 1 5 3
temp_spectre.303 153000000.5 101 5 10 6 5 2 4 2
temp_spectre.304 153500000.5 72 6 5 2 3 1 6 1
temp_spectre.305 154000000.5 55 8 4 5 6 3 4 1
temp_spectre.306 154500000.5 56 10 4 5 7 3 1 0
temp_spectre.307 155000000.5 75 18 6 15 4 0 6 0
temp_spectre.308 155500000.5 97 15 15 17 5 4 10 3
temp_spectre.309 156000000.5 71 7 17 3 6 6 7 3
temp_spectre.310 156500000.5 83 8 11 2 8 3 4 5
temp_spectre.311 157000000.5 123 7 12 11 9 6 8 9
temp_spectre.312 157500000.5 129 17 17 18 10 6 10 5
temp_spectre.313 158000000.5 108 24 16 11 6 8 6 4
temp_spectre.314 158500000.5 82 22 13 6 2 11 6 3
temp_spectre.315 159000000.5 80 24 11 7 4 4 8 1
temp_spectre.316 159500000.5 101 22 11 13 4 4 7 6
temp_spectre.317 160000000.5 106 18 13 12 6 13 3 6
temp_spectre.318 160500000.5 100 17 10 6 6 14 4 1
temp_spectre.319 161000000.5 112 21 17 4 4 10 6 3
temp_spectre.320 161500000.5 98 20 19 3 5 9 6 6
temp_spectre.321 162000000.5 66 14 8 6 5 8 7 5
temp_spectre.322 162500000.5 69 18 13 4 4 6 4 2
temp_spectre.323 163000000.5 91 17 14 5 9 9 14 1
temp_spectre.324 163500000.5 102 15 12 7 16 9 15 2
temp_spectre.325 164000000.5 98 19 13 6 12 7 6 1
temp_spectre.326 164500000.5 118 22 11 14 5 13 11 4
temp_spectre.327 165000000.5 96 16 11 13 8 10 9 4
temp_spectre.328 165500000.5 76 7 12 8 12 9 4 1
temp_spectre.329 166000000.5 127 22 13 19 11 12 11 2
temp_spectre.330 166500000.5 121 23 10 19 10 11 12 3
temp_spectre.331 167000000.5 105 19 14 12 12 11 4 3
temp_spectre.332 167500000.5 98 16 18 11 9 5 4 2
temp_spectre.333 168000000.5 84 17 17 7 4 2 5 1
temp_spectre.334 168500000.5 76 27 12 5 4 3 3 3
temp_spectre.335 169000000.5 106 29 8 20 6 5 3 4
temp_spectre.336 169500000.5 107 23 10 18 11 5 2 1
temp_spectre.337 170000000.5 40 9 6 4 7 2 0 0
temp_spectre.338 170500000.5 66 11 4 9 3 2 6 1
temp_spectre.339 171000000.5 104 25 7 9 10 7 8 2
temp_spectre.340 171500000.5 51 19 5 3 7 6 2 1
temp_spectre.341 172000000.5 6 3 1 0 0 0 0 0
