per_plot V2 V3 V4 V5 V6 V7 V8
temp_spectre.229 115500000.5 50 15 2 13 1 3 1
temp_spectre.230 116000000.5 28 7 2 3 1 3 1
temp_spectre.231 116500000.5 55 14 6 7 4 2 3
temp_spectre.232 117000000.5 80 22 8 10 10 6 3
temp_spectre.233 117500000.5 82 36 6 9 8 8 1
temp_spectre.234 118000000.5 85 39 5 13 4 7 0
temp_spectre.235 118500000.5 84 26 7 12 3 8 0
temp_spectre.236 119000000.5 81 26 9 6 2 7 0
temp_spectre.237 119500000.5 83 24 11 7 5 4 0
temp_spectre.238 120000000.5 56 17 6 5 3 2 4
temp_spectre.239 120500000.5 64 30 1 2 7 3 4
temp_spectre.240 121000000.5 81 26 6 4 12 5 2
temp_spectre.241 121500000.5 98 14 14 9 15 12 7
temp_spectre.242 122000000.5 94 9 11 9 16 17 9
temp_spectre.243 122500000.5 51 8 5 3 6 13 4
temp_spectre.244 123000000.5 141 25 20 16 10 17 13
temp_spectre.245 123500000.5 163 33 18 19 12 19 13
temp_spectre.246 124000000.5 56 19 3 5 2 6 0
temp_spectre.247 124500000.5 32 8 5 5 1 0 0
temp_spectre.248 125000000.5 25 6 4 4 1 2 0
temp_spectre.249 125500000.5 44 16 10 5 3 4 0
temp_spectre.250 126000000.5 80 24 10 5 9 7 3
temp_spectre.251 126500000.5 83 20 8 3 7 6 3
temp_spectre.252 127000000.5 62 15 9 6 1 2 0
temp_spectre.253 127500000.5 69 12 6 8 3 1 0
temp_spectre.254 128000000.5 83 16 5 7 10 6 1
temp_spectre.255 128500000.5 70 22 4 11 9 7 3
temp_spectre.256 129000000.5 60 18 3 9 6 5 4
temp_spectre.257 129500000.5 55 15 1 2 6 4 2
temp_spectre.258 130000000.5 71 28 4 2 4 0 0
temp_spectre.259 130500000.5 86 26 10 8 3 4 3
temp_spectre.260 131000000.5 103 38 13 14 3 5 3
temp_spectre.261 131500000.5 104 44 9 12 5 5 0
temp_spectre.262 132000000.5 94 22 9 13 5 10 5
temp_spectre.263 132500000.5 91 20 9 12 5 8 11
temp_spectre.264 133000000.5 77 20 6 11 7 4 8
temp_spectre.265 133500000.5 77 16 6 12 9 4 3
temp_spectre.266 134000000.5 83 28 9 7 8 3 1
temp_spectre.267 134500000.5 92 29 12 8 5 3 0
temp_spectre.268 135000000.5 92 27 11 8 4 4 1
temp_spectre.269 135500000.5 88 33 8 9 8 11 1
temp_spectre.270 136000000.5 96 26 7 9 7 16 0
temp_spectre.271 136500000.5 88 14 9 7 2 10 2
temp_spectre.272 137000000.5 90 7 12 12 8 5 5
temp_spectre.273 137500000.5 83 10 13 10 10 4 3
temp_spectre.274 138000000.5 62 13 11 6 7 3 3
temp_spectre.275 138500000.5 69 19 8 5 9 4 3
temp_spectre.276 139000000.5 81 25 10 3 6 6 1
temp_spectre.277 139500000.5 80 20 13 5 3 6 3
temp_spectre.278 140000000.5 93 24 10 9 8 7 5
temp_spectre.279 140500000.5 102 28 14 9 9 6 4
temp_spectre.280 141000000.5 67 14 14 6 3 3 2
temp_spectre.281 141500000.5 49 6 10 3 3 2 1
temp_spectre.282 142000000.5 78 11 12 6 13 4 1
temp_spectre.283 142500000.5 88 19 7 12 14 9 5
temp_spectre.284 143000000.5 72 14 7 13 6 9 9
temp_spectre.285 143500000.5 79 17 14 10 6 7 5
temp_spectre.286 144000000.5 108 27 23 10 12 11 1
temp_spectre.287 144500000.5 110 26 19 9 13 9 7
temp_spectre.288 145000000.5 94 20 12 7 7 4 8
temp_spectre.289 145500000.5 79 15 12 8 3 2 2
temp_spectre.290 146000000.5 71 21 7 8 1 3 2
temp_spectre.291 146500000.5 87 34 9 5 2 7 2
temp_spectre.292 147000000.5 95 34 6 9 4 7 1
temp_spectre.293 147500000.5 76 29 6 10 6 3 1
temp_spectre.294 148000000.5 69 25 10 10 10 3 0
temp_spectre.295 148500000.5 87 25 5 16 7 3 1
temp_spectre.296 149000000.5 83 23 4 15 5 2 5
temp_spectre.297 149500000.5 65 25 7 9 6 2 4
temp_spectre.298 150000000.5 37 20 6 2 2 2 0
temp_spectre.299 150500000.5 7 2 2 0 0 2 0
